target_index,target_time_seconds,source_frame_index,source_time_seconds,time_supported
0,0.0,0,0.0,True
1,0.1149425287356322,1,0.11,True
2,0.2298850574712644,2,0.23,True
3,0.3448275862068966,3,0.3433333333333334,True
4,0.4597701149425288,4,0.3583333333333333,True
5,0.574712643678161,5,0.5700000000000001,True
6,0.6896551724137931,6,0.68,True
7,0.8045977011494253,7,0.7916666666666667,True
8,0.9195402298850576,8,0.9116666666666668,True
9,1.0344827586206897,10,1.0483333333333331,True
10,1.149425287356322,10,1.0483333333333331,True
11,1.264367816091954,11,1.2566666666666668,True
12,1.3793103448275863,12,1.35,True
13,1.4942528735632186,13,1.4833333333333334,True
14,1.6091954022988506,14,1.5883333333333334,True
15,1.7241379310344829,15,1.7016666666666669,True
16,1.8390804597701151,16,1.78,True
17,1.9540229885057472,17,1.9316666666666669,True
18,2.0689655172413794,19,2.0733333333333333,True
19,2.1839080459770117,20,2.2833333333333337,True
20,2.298850574712644,20,2.2833333333333337,True
21,2.4137931034482762,21,2.381666666666667,True
22,2.528735632183908,22,2.5033333333333334,True
23,2.6436781609195403,23,2.625,True
24,2.7586206896551726,25,2.7550000000000003,True
25,2.873563218390805,26,2.9650000000000003,True
26,2.988505747126437,26,2.9650000000000003,True
27,3.1034482758620694,27,3.061666666666667,True
28,3.218390804597701,28,3.18,True
29,3.3333333333333335,29,3.3000000000000003,True
30,3.4482758620689657,30,3.418333333333333,True
31,3.563218390804598,31,3.535,True
32,3.6781609195402303,32,3.6383333333333336,True
33,3.7931034482758625,33,3.753333333333333,True
34,3.9080459770114944,34,3.858333333333333,True
35,4.022988505747127,35,3.981666666666667,True
36,4.137931034482759,36,4.198333333333333,True
37,4.252873563218391,37,4.213333333333334,True
38,4.367816091954023,39,4.355,True
39,4.482758620689656,40,4.58,True
40,4.597701149425288,40,4.58,True
41,4.71264367816092,41,4.666666666666667,True
42,4.8275862068965525,42,4.786666666666667,True
43,4.942528735632185,44,4.983333333333333,True
44,5.057471264367816,44,4.983333333333333,True
45,5.172413793103448,46,5.166666666666667,True
46,5.287356321839081,47,5.368333333333334,True
47,5.402298850574713,48,5.383333333333334,False
48,5.517241379310345,48,5.383333333333334,False
49,5.6321839080459775,48,5.383333333333334,False
50,5.74712643678161,48,5.383333333333334,False
51,5.862068965517242,48,5.383333333333334,False
52,5.977011494252874,48,5.383333333333334,False
53,6.0919540229885065,48,5.383333333333334,False
54,6.206896551724139,48,5.383333333333334,False
55,6.321839080459771,48,5.383333333333334,False
56,6.436781609195402,48,5.383333333333334,False
57,6.551724137931035,48,5.383333333333334,False
58,6.666666666666667,48,5.383333333333334,False
59,6.781609195402299,49,8.133333333333335,False
60,6.8965517241379315,49,8.133333333333335,False
61,7.011494252873564,49,8.133333333333335,False
62,7.126436781609196,49,8.133333333333335,False
63,7.241379310344828,49,8.133333333333335,False
64,7.356321839080461,49,8.133333333333335,False
65,7.471264367816093,49,8.133333333333335,False
66,7.586206896551725,49,8.133333333333335,False
67,7.701149425287357,49,8.133333333333335,False
68,7.816091954022989,49,8.133333333333335,False
69,7.931034482758621,49,8.133333333333335,False
70,8.045977011494253,49,8.133333333333335,False
71,8.160919540229886,49,8.133333333333335,True
72,8.275862068965518,51,8.296666666666667,True
73,8.39080459770115,52,8.391666666666667,True
74,8.505747126436782,53,8.51,True
75,8.620689655172415,55,8.701666666666668,True
76,8.735632183908047,55,8.701666666666668,True
77,8.85057471264368,57,8.903333333333334,True
78,8.965517241379311,58,8.918333333333335,True
79,9.080459770114944,59,9.11,True
80,9.195402298850576,60,9.22,True
81,9.310344827586208,61,9.338333333333336,True
82,9.42528735632184,62,9.453333333333331,True
83,9.540229885057473,63,9.566666666666666,True
84,9.655172413793105,64,9.671666666666669,True
85,9.770114942528737,65,9.790000000000004,True
86,9.88505747126437,66,9.908333333333331,True
87,10.0,67,10.021666666666668,True
88,10.114942528735632,68,10.128333333333334,True
89,10.229885057471265,69,10.251666666666669,True
90,10.344827586206897,70,10.363333333333332,True
91,10.459770114942529,71,10.468333333333334,True
92,10.574712643678161,72,10.591666666666669,True
93,10.689655172413794,73,10.701666666666668,True
94,10.804597701149426,74,10.781666666666668,True
95,10.919540229885058,75,10.856666666666667,True
96,11.03448275862069,76,11.058333333333334,True
97,11.149425287356323,77,11.173333333333334,True
98,11.264367816091955,78,11.188333333333334,True
99,11.379310344827587,79,11.4,True
100,11.49425287356322,80,11.478333333333332,True
101,11.609195402298852,81,11.531666666666668,True
102,11.724137931034484,82,11.741666666666667,True
103,11.839080459770116,83,11.838333333333336,True
104,11.954022988505749,84,11.951666666666668,True
105,12.06896551724138,85,11.993333333333334,True
106,12.183908045977013,86,12.196666666666667,True
107,12.298850574712645,87,12.293333333333337,True
108,12.413793103448278,88,12.428333333333336,True
109,12.52873563218391,89,12.531666666666668,True
110,12.643678160919542,90,12.641666666666667,True
111,12.758620689655173,91,12.761666666666668,True
112,12.873563218390805,92,12.87,True
113,12.988505747126437,93,12.983333333333334,True
114,13.10344827586207,94,13.101666666666668,True
115,13.218390804597702,95,13.22,True
116,13.333333333333334,96,13.328333333333337,True
117,13.448275862068966,97,13.401666666666667,True
118,13.563218390804598,98,13.566666666666668,True
119,13.67816091954023,99,13.683333333333334,True
120,13.793103448275863,100,13.698333333333334,True
121,13.908045977011495,101,13.911666666666669,True
122,14.022988505747128,103,14.043333333333337,True
123,14.13793103448276,103,14.043333333333337,True
124,14.252873563218392,104,14.246666666666668,True
125,14.367816091954024,105,14.351666666666668,True
126,14.482758620689657,106,14.458333333333334,True
127,14.597701149425289,107,14.583333333333334,True
128,14.712643678160921,108,14.69,True
129,14.827586206896553,109,14.77,True
130,14.942528735632186,110,14.94,True
131,15.057471264367818,111,14.953333333333337,True
132,15.17241379310345,112,15.173333333333334,True
133,15.287356321839082,113,15.186666666666667,True
134,15.402298850574715,114,15.391666666666667,True
135,15.517241379310347,115,15.491666666666667,True
136,15.632183908045977,116,15.621666666666668,True
137,15.74712643678161,117,15.721666666666668,True
138,15.862068965517242,118,15.831666666666669,True
139,15.977011494252874,119,15.941666666666668,True
140,16.091954022988507,120,16.07166666666667,True
141,16.20689655172414,121,16.17666666666667,True
142,16.32183908045977,122,16.3,True
143,16.436781609195403,123,16.415000000000003,True
144,16.551724137931036,125,16.545,True
145,16.666666666666668,126,16.753333333333334,True
146,16.7816091954023,126,16.753333333333334,True
147,16.896551724137932,127,16.861666666666668,True
148,17.011494252873565,128,16.975,True
149,17.126436781609197,129,17.09166666666667,True
150,17.24137931034483,131,17.23,True
151,17.35632183908046,132,17.43166666666667,True
152,17.471264367816094,132,17.43166666666667,True
153,17.586206896551726,133,17.540000000000003,True
154,17.70114942528736,134,17.651666666666667,True
155,17.81609195402299,135,17.77166666666667,True
156,17.931034482758623,136,17.881666666666668,True
157,18.045977011494255,138,18.076666666666668,True
158,18.160919540229887,139,18.148333333333333,True
159,18.27586206896552,140,18.34166666666667,True
160,18.390804597701152,140,18.34166666666667,True
161,18.505747126436784,142,18.491666666666667,True
162,18.620689655172416,143,18.593333333333334,True
163,18.73563218390805,144,18.80166666666667,True
164,18.85057471264368,144,18.80166666666667,True
165,18.965517241379313,145,18.918333333333333,True
166,19.080459770114945,147,19.12833333333333,True
167,19.195402298850578,148,19.25166666666667,True
168,19.31034482758621,149,19.361666666666668,True
169,19.425287356321842,150,19.48333333333333,True
170,19.540229885057474,150,19.48333333333333,True
171,19.655172413793107,151,19.601666666666667,True
172,19.77011494252874,153,19.746666666666677,True
173,19.885057471264368,154,19.94333333333333,True
174,20.0,155,20.05166666666667,True
175,20.114942528735632,156,20.165000000000003,True
176,20.229885057471265,157,20.273333333333333,True
177,20.344827586206897,158,20.39166666666667,True
178,20.45977011494253,159,20.47833333333333,True
179,20.57471264367816,160,20.541666666666668,True
180,20.689655172413794,161,20.74,True
181,20.804597701149426,161,20.74,True
182,20.919540229885058,162,20.87666666666667,True
183,21.03448275862069,164,21.00166666666667,True
184,21.149425287356323,165,21.223333333333336,True
185,21.264367816091955,166,21.278333333333336,True
186,21.379310344827587,167,21.441666666666663,True
187,21.49425287356322,168,21.455000000000005,True
188,21.60919540229885,169,21.653333333333336,True
189,21.724137931034484,170,21.76833333333333,True
190,21.839080459770116,171,21.87666666666667,True
191,21.95402298850575,172,21.988333333333333,True
192,22.06896551724138,173,22.12333333333333,True
193,22.183908045977013,174,22.138333333333332,True
194,22.298850574712645,175,22.331666666666667,True
195,22.413793103448278,176,22.441666666666663,True
196,22.52873563218391,177,22.563333333333336,True
197,22.643678160919542,178,22.66333333333333,True
198,22.758620689655174,179,22.78166666666667,True
199,22.873563218390807,180,22.91166666666667,True
200,22.98850574712644,181,23.011666666666667,True
201,23.10344827586207,182,23.12333333333333,True
202,23.218390804597703,183,23.23166666666667,True
203,23.333333333333336,184,23.348333333333336,True
204,23.448275862068968,185,23.46,True
205,23.5632183908046,186,23.585,True
206,23.678160919540232,187,23.695,True
207,23.793103448275865,188,23.765,True
208,23.908045977011497,189,23.84166666666667,True
209,24.02298850574713,190,24.043333333333337,True
210,24.13793103448276,191,24.16166666666667,True
211,24.252873563218394,192,24.17666666666667,True
212,24.367816091954026,193,24.395000000000003,True
213,24.48275862068966,194,24.493333333333336,True
214,24.59770114942529,195,24.56666666666667,True
215,24.712643678160923,196,24.73166666666667,True
216,24.827586206896555,197,24.831666666666667,True
217,24.942528735632187,198,24.94166666666667,True
218,25.05747126436782,199,24.98166666666667,True
219,25.172413793103452,200,25.19,True
220,25.287356321839084,201,25.28833333333333,True
221,25.402298850574716,202,25.416666666666668,True
222,25.517241379310345,203,25.52166666666667,True
223,25.632183908045977,204,25.631666666666668,True
224,25.74712643678161,205,25.74833333333333,True
225,25.862068965517242,206,25.868333333333336,True
226,25.977011494252874,207,25.883333333333336,True
227,26.091954022988507,208,26.10333333333333,True
228,26.20689655172414,209,26.21666666666667,True
229,26.32183908045977,210,26.31833333333333,True
230,26.436781609195403,211,26.43166666666667,True
231,26.551724137931036,212,26.546666666666667,True
232,26.666666666666668,213,26.605,True
233,26.7816091954023,214,26.790000000000003,True
234,26.896551724137932,216,26.968333333333334,True
235,27.011494252873565,217,27.028333333333336,True
236,27.126436781609197,217,27.028333333333336,True
237,27.24137931034483,218,27.241666666666667,True
238,27.35632183908046,219,27.34166666666667,True
239,27.471264367816094,220,27.453333333333337,True
240,27.586206896551726,221,27.575000000000003,True
241,27.70114942528736,222,27.695,True
242,27.81609195402299,223,27.76833333333333,True
243,27.931034482758623,224,27.918333333333337,True
244,28.045977011494255,225,28.02166666666667,True
245,28.160919540229887,227,28.168333333333337,True
246,28.27586206896552,228,28.383333333333336,True
247,28.390804597701152,228,28.383333333333336,True
248,28.505747126436784,229,28.48166666666667,True
249,28.620689655172416,230,28.611666666666668,True
250,28.73563218390805,231,28.718333333333334,True
251,28.85057471264368,232,28.82333333333333,True
252,28.965517241379313,233,28.933333333333334,True
253,29.080459770114945,235,29.093333333333334,True
254,29.195402298850578,236,29.276666666666667,True
255,29.31034482758621,236,29.276666666666667,True
256,29.425287356321842,237,29.39166666666667,True
257,29.540229885057474,238,29.51666666666667,True
258,29.655172413793107,239,29.616666666666667,True
259,29.77011494252874,240,29.73333333333333,True
260,29.88505747126437,242,29.865,True
