window_id,start_frame,stop_frame_exclusive,core_start_frame,core_stop_frame_exclusive,core_start_seconds,core_stop_seconds,core_seconds,eligible_duration,segment_id,event_count,signal_status
jiufu_9a14e05c1c184c_first30,0,138,0,135,0.0,15.517241379310345,15.517241379310345,True,0,7,partial_events_only
jiufu_9a14e05c1c184c_first30,160,261,163,261,18.735632183908045,30.0,11.264367816091953,True,1,6,partial_events_only
jiufu_c5ff3e35124405_first30,0,97,0,94,0.0,10.804597701149426,10.804597701149426,True,0,5,partial_events_only
jiufu_c5ff3e35124405_first30,118,261,121,261,13.908045977011493,30.0,16.091954022988507,True,1,10,partial_events_only
jiufu_58da0349ace78c_first30,0,103,0,100,0.0,11.494252873563218,11.494252873563218,True,0,2,partial_events_only
jiufu_58da0349ace78c_first30,124,261,127,261,14.597701149425287,30.0,15.402298850574713,True,1,6,partial_events_only
jiufu_f0f7415c6e495e_first30,0,34,0,31,0.0,3.5632183908045976,3.5632183908045976,False,0,0,short_span
jiufu_f0f7415c6e495e_first30,55,261,58,261,6.666666666666667,30.0,23.333333333333332,True,1,16,partial_events_only
jiufu_6328167f32f25e_first30,0,122,0,119,0.0,13.678160919540229,13.678160919540229,True,0,4,partial_events_only
jiufu_6328167f32f25e_first30,143,261,146,261,16.7816091954023,30.0,13.218390804597702,True,1,8,partial_events_only
jiufu_ce6835d13f136d_first30,0,40,0,37,0.0,4.252873563218391,4.252873563218391,False,0,0,short_span
jiufu_ce6835d13f136d_first30,64,261,67,261,7.7011494252873565,30.0,22.29885057471264,True,1,0,partial_events_only
jiufu_3f44e994a4ccb7_first30,0,246,0,243,0.0,27.93103448275862,27.93103448275862,True,0,21,partial_events_only
jiufu_3f44e994a4ccb7_first30,251,261,254,261,29.195402298850574,30.0,0.8045977011494253,False,1,0,short_span
jiufu_58a951a34f7249_first30,0,50,0,47,0.0,5.402298850574713,5.402298850574713,False,0,0,short_span
jiufu_58a951a34f7249_first30,72,261,75,261,8.620689655172413,30.0,21.379310344827587,True,1,12,partial_events_only
