grid_index,time_seconds,is_human_reference
5,0.574712643678161,False
16,1.8390804597701151,False
27,3.1034482758620694,False
36,4.137931034482759,False
42,4.8275862068965525,False
52,5.977011494252874,False
58,6.666666666666667,False
70,8.045977011494253,False
78,8.965517241379311,False
84,9.655172413793105,False
90,10.344827586206897,False
97,11.149425287356323,False
103,11.839080459770116,False
110,12.643678160919542,False
115,13.218390804597702,False
121,13.908045977011495,False
129,14.827586206896553,False
139,15.977011494252874,False
150,17.24137931034483,False
158,18.160919540229887,False
168,19.31034482758621,False
178,20.45977011494253,False
189,21.724137931034484,False
198,22.758620689655174,False
207,23.793103448275865,False
216,24.827586206896555,False
226,25.977011494252874,False
235,27.011494252873565,False
242,27.81609195402299,False
252,28.965517241379313,False
