cohort,arm,n,clusters,delta_mae_vs_original,ci95_low,ci95_high
lindian49,native,47,47,0.041945893790993755,-0.3408851623105241,0.382587932634347
lindian49,uniform,47,47,-0.0005689933148165617,-0.38378028787710106,0.38230729499249017
jiufu271,native,173,126,0.03468208092485549,-0.10057633830705043,0.1787960580001254
jiufu271,uniform,173,126,0.03468208092485549,-0.10057633830705043,0.1787960580001254
