cohort,arm,window_id,predicted_count,truth_count,predicted_rr_bpm,truth_rr_bpm
jiufu271,native,jiufu_f920435ef76ec4_first30,8,8,16.0,16.0
jiufu271,native,jiufu_7f52d294468aa5_first30,16,15,32.0,30.0
jiufu271,native,jiufu_11acdc6d1c6ccc_first30,10,12,20.0,24.0
jiufu271,native,jiufu_cc60214ff2d564_first30,10,12,20.0,24.0
jiufu271,native,jiufu_f23fd2fe9eb848_first30,9,10,18.0,20.0
jiufu271,native,jiufu_126bdac0bd036b_first30,12,12,24.0,24.0
jiufu271,native,jiufu_c6e5a206ad0c30_first30,17,18,34.0,36.0
jiufu271,native,jiufu_0f7af9c769fda5_first30,10,16,20.0,32.0
jiufu271,native,jiufu_42402108cd09a9_first30,7,5,14.0,10.0
jiufu271,native,jiufu_a97a8ff157139f_first30,11,11,22.0,22.0
jiufu271,native,jiufu_a45d837f891e44_first30,7,8,14.0,16.0
jiufu271,native,jiufu_3a993354ebd1c7_first30,16,23,32.0,46.0
jiufu271,native,jiufu_13f838ff73e069_first30,5,3,10.0,6.0
jiufu271,native,jiufu_7388b7efc8afb3_first30,13,14,26.0,28.0
jiufu271,native,jiufu_2fdd36fbe9a8ce_first30,16,16,32.0,32.0
jiufu271,native,jiufu_ef58cd171d4783_first30,14,15,28.0,30.0
jiufu271,native,jiufu_dfa58f3a711e47_first30,9,7,18.0,14.0
jiufu271,native,jiufu_a1ceaa6025ff79_first30,10,17,20.0,34.0
jiufu271,native,jiufu_9a1c40cbb80bb1_first30,9,10,18.0,20.0
jiufu271,native,jiufu_161f93bfffbe11_first30,9,10,18.0,20.0
jiufu271,native,jiufu_014c9b6a274fed_first30,12,16,24.0,32.0
jiufu271,native,jiufu_028724ccc9868d_first30,17,18,34.0,36.0
jiufu271,native,jiufu_0c053f837a8b23_first30,17,14,34.0,28.0
jiufu271,native,jiufu_8f6eabd7f2cb6e_first30,10,10,20.0,20.0
jiufu271,native,jiufu_21b4c4c26061d0_first30,15,14,30.0,28.0
jiufu271,native,jiufu_37333d1afc0ec2_first30,15,12,30.0,24.0
jiufu271,native,jiufu_b273cec8024eb2_first30,13,13,26.0,26.0
jiufu271,native,jiufu_d1a9a7ab944633_first30,12,17,24.0,34.0
jiufu271,native,jiufu_908496549f5b42_first30,6,7,12.0,14.0
jiufu271,native,jiufu_04fd6f8dc56a73_first30,10,11,20.0,22.0
jiufu271,native,jiufu_440a29cebcae1c_first30,11,13,22.0,26.0
jiufu271,native,jiufu_e2821e37ff899d_first30,19,13,38.0,26.0
jiufu271,native,jiufu_b80d393ca25ef8_first30,5,4,10.0,8.0
jiufu271,native,jiufu_adb9b6776eb349_first30,19,21,38.0,42.0
jiufu271,native,jiufu_d837d576df8e43_first30,9,8,18.0,16.0
jiufu271,native,jiufu_281bc808f4d3ff_first30,9,13,18.0,26.0
jiufu271,native,jiufu_4206de92a27bce_first30,15,14,30.0,28.0
jiufu271,native,jiufu_43743cb152c168_first30,13,15,26.0,30.0
jiufu271,native,jiufu_d7498380edb383_first30,12,12,24.0,24.0
jiufu271,native,jiufu_512d98136d6412_first30,14,14,28.0,28.0
jiufu271,native,jiufu_1b1d8d9b6faec7_first30,11,14,22.0,28.0
jiufu271,native,jiufu_1a11fc33fcb6cf_first30,14,14,28.0,28.0
jiufu271,native,jiufu_993a2261c33ae0_first30,15,16,30.0,32.0
jiufu271,native,jiufu_15023a4d62f18e_first30,24,24,48.0,48.0
jiufu271,native,jiufu_bcea2687a6b788_first30,15,21,30.0,42.0
jiufu271,native,jiufu_fe965ff4644d07_first30,14,14,28.0,28.0
jiufu271,native,jiufu_f6bca344b2c8ce_first30,18,13,36.0,26.0
jiufu271,native,jiufu_ce6ff507b22ee9_first30,18,11,36.0,22.0
jiufu271,native,jiufu_075ed4d93c9959_first30,9,11,18.0,22.0
jiufu271,native,jiufu_234cbf6b627421_first30,4,20,8.0,40.0
jiufu271,native,jiufu_0f85cab7ac58ae_first30,15,16,30.0,32.0
jiufu271,native,jiufu_55441b4c6fe974_first30,13,12,26.0,24.0
jiufu271,native,jiufu_d074036ef96d31_first30,14,13,28.0,26.0
jiufu271,native,jiufu_cdaa16888fda03_first30,9,9,18.0,18.0
jiufu271,native,jiufu_b7ed63dc0d8295_first30,15,11,30.0,22.0
jiufu271,native,jiufu_9ddfe0afe06424_first30,13,15,26.0,30.0
jiufu271,uniform,jiufu_aed96a8cd6dde3_first30,9,11,18.0,22.0
jiufu271,uniform,jiufu_d57a389e370ce5_first30,20,20,40.0,40.0
jiufu271,uniform,jiufu_b79d91910dc17a_first30,9,13,18.0,26.0
jiufu271,uniform,jiufu_8db6ed7f9c3ad8_first30,15,12,30.0,24.0
jiufu271,uniform,jiufu_75a484b3f5253b_first30,9,7,18.0,14.0
jiufu271,uniform,jiufu_35f0adf19ed368_first30,21,20,42.0,40.0
jiufu271,uniform,jiufu_21e342957e0fd7_first30,22,24,44.0,48.0
jiufu271,uniform,jiufu_c92bd308748a09_first30,15,17,30.0,34.0
jiufu271,uniform,jiufu_551d99f2e9c264_first30,12,15,24.0,30.0
jiufu271,uniform,jiufu_c95ae69597cc50_first30,10,13,20.0,26.0
jiufu271,uniform,jiufu_94796ccea127be_first30,14,13,28.0,26.0
jiufu271,uniform,jiufu_3ac83315834f77_first30,7,7,14.0,14.0
jiufu271,uniform,jiufu_c68c62cb67dede_first30,13,10,26.0,20.0
jiufu271,uniform,jiufu_3721f7cf5a844c_first30,6,6,12.0,12.0
jiufu271,uniform,jiufu_65b745e540b8c7_first30,12,11,24.0,22.0
jiufu271,uniform,jiufu_2e919f7b4ce7d4_first30,0,18,0.0,36.0
jiufu271,uniform,jiufu_f7266533e3399d_first30,17,17,34.0,34.0
jiufu271,uniform,jiufu_bd77cfa7950eaa_first30,15,15,30.0,30.0
jiufu271,uniform,jiufu_90ed4ac916a295_first30,4,22,8.0,44.0
jiufu271,uniform,jiufu_cd5eea76388f30_first30,10,14,20.0,28.0
jiufu271,uniform,jiufu_6cbcb0311b3ebf_first30,17,14,34.0,28.0
jiufu271,uniform,jiufu_6a641dd078f572_first30,17,20,34.0,40.0
jiufu271,uniform,jiufu_edd9eebe6de991_first30,20,19,40.0,38.0
jiufu271,uniform,jiufu_58c38973aff558_first30,14,10,28.0,20.0
jiufu271,uniform,jiufu_665326590feedb_first30,8,16,16.0,32.0
jiufu271,uniform,jiufu_124bf365605cd6_first30,10,17,20.0,34.0
jiufu271,uniform,jiufu_cc565ea0bfa396_first30,17,15,34.0,30.0
jiufu271,uniform,jiufu_0a14da4ad52431_first30,17,18,34.0,36.0
jiufu271,uniform,jiufu_abada3dda3e8b7_first30,16,18,32.0,36.0
jiufu271,uniform,jiufu_0ef3b83bc00130_first30,14,17,28.0,34.0
jiufu271,uniform,jiufu_a6ed80c55f7be6_first30,6,3,12.0,6.0
jiufu271,uniform,jiufu_6fa0bbd661c8bb_first30,15,19,30.0,38.0
jiufu271,uniform,jiufu_9eb853207f9233_first30,14,13,28.0,26.0
jiufu271,uniform,jiufu_494e84a71f0d53_first30,5,4,10.0,8.0
jiufu271,uniform,jiufu_8953d49083882b_first30,25,24,50.0,48.0
jiufu271,uniform,jiufu_577eb87b4ec0fa_first30,16,14,32.0,28.0
jiufu271,uniform,jiufu_ac7d209f2a6aec_first30,7,6,14.0,12.0
jiufu271,uniform,jiufu_45e262858c1edf_first30,13,20,26.0,40.0
