cohort,arm,total_windows,all_output_windows,complete_reference_windows,tp,fp,fn,precision,recall,f1,n,rr_r2,rr_mae_bpm,rr_rmse_bpm,count_mae,exact_count,within_one_count,mean_count_accuracy_percent,bias_bpm,loa_low_bpm,loa_high_bpm
jiufu271,native,271,216,216,1329,1020,1701,0.565772669220945,0.4386138613861386,0.49414389291689903,173,0.4176730896809602,5.190751445086705,7.870336494190824,2.5953757225433525,33,79,80.60900310321381,-1.260115606936416,-16.531170095815437,14.010938881942606
jiufu271,uniform,271,216,216,1329,1020,1701,0.565772669220945,0.4386138613861386,0.49414389291689903,173,0.4176730896809602,5.190751445086705,7.870336494190824,2.5953757225433525,33,79,80.60900310321381,-1.260115606936416,-16.531170095815437,14.010938881942606
lindian49,native,49,49,47,851,293,276,0.7438811188811189,0.7551020408163265,0.7494495816820784,47,0.8728156279479315,3.020001367781927,4.008308938430527,1.5106382978723405,11,28,93.46966886761582,0.7222056333502942,-7.089050575791504,8.533461842492091
lindian49,uniform,49,49,47,846,297,281,0.7401574803149606,0.7506654835847383,0.745374449339207,47,0.87752112905627,2.9774864806761174,3.9334614594158452,1.4893617021276595,11,28,93.51162848404354,0.6796907462444839,-6.996017331935492,8.355398824424459
