cohort,arm,window_id,tp,fp,fn,precision,recall,f1
jiufu271,native,jiufu_577eb87b4ec0fa_first30,6,10,8,0.375,0.42857142857142855,0.4
jiufu271,native,jiufu_ac7d209f2a6aec_first30,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307693
jiufu271,native,jiufu_f0f7415c6e495e_first30,0,0,22,0.0,0.0,0.0
jiufu271,native,jiufu_45e262858c1edf_first30,10,3,10,0.7692307692307693,0.5,0.6060606060606061
jiufu271,native,jiufu_59f7f9462f2c30_first30,7,10,12,0.4117647058823529,0.3684210526315789,0.3888888888888889
jiufu271,native,jiufu_6454a9e613172b_first30,20,5,3,0.8,0.8695652173913043,0.8333333333333334
jiufu271,native,jiufu_6328167f32f25e_first30,0,0,13,0.0,0.0,0.0
jiufu271,native,jiufu_80fa8dbe195b66_first30,11,5,11,0.6875,0.5,0.5789473684210527
jiufu271,native,jiufu_012d9efb7d8d4c_first30,4,6,15,0.4,0.21052631578947367,0.27586206896551724
jiufu271,native,jiufu_5623dc263f1364_first30,8,6,4,0.5714285714285714,0.6666666666666666,0.6153846153846154
jiufu271,native,jiufu_8254fd394c755d_first30,8,4,6,0.6666666666666666,0.5714285714285714,0.6153846153846154
jiufu271,native,jiufu_33ff2c90bde0a7_first30,5,6,3,0.45454545454545453,0.625,0.5263157894736842
jiufu271,native,jiufu_c37db5cf8c7d4e_first30,3,3,4,0.5,0.42857142857142855,0.46153846153846156
jiufu271,native,jiufu_3f44e994a4ccb7_first30,0,0,21,0.0,0.0,0.0
jiufu271,native,jiufu_58a951a34f7249_first30,0,0,16,0.0,0.0,0.0
jiufu271,native,jiufu_8ac17622997976_first30,5,5,5,0.5,0.5,0.5
jiufu271,native,jiufu_ee2427b1f91c14_first30,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714
jiufu271,native,jiufu_d40d50640e24a1_first30,23,6,6,0.7931034482758621,0.7931034482758621,0.7931034482758621
jiufu271,native,jiufu_e20abde4e3a043_first30,14,4,7,0.7777777777777778,0.6666666666666666,0.717948717948718
jiufu271,native,jiufu_fffa829b4cfc5f_first30,5,6,8,0.45454545454545453,0.38461538461538464,0.4166666666666667
jiufu271,native,jiufu_39742bec07007b_first30,7,3,13,0.7,0.35,0.4666666666666667
jiufu271,native,jiufu_a7f96cc7661e4a_first30,9,5,7,0.6428571428571429,0.5625,0.6
jiufu271,native,jiufu_f5a7ada186a785_first30,7,11,6,0.3888888888888889,0.5384615384615384,0.45161290322580644
jiufu271,native,jiufu_8f2aab0fc1ae4b_first30,19,11,7,0.6333333333333333,0.7307692307692307,0.6785714285714286
jiufu271,native,jiufu_b230c11bab398b_first30,0,0,18,0.0,0.0,0.0
jiufu271,native,jiufu_05aaedc28c6708_first30,4,7,5,0.36363636363636365,0.4444444444444444,0.4
jiufu271,native,jiufu_0d1522aef374ec_first30,9,6,5,0.6,0.6428571428571429,0.6206896551724138
jiufu271,native,jiufu_2cdb051142d5ab_first30,12,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571
jiufu271,native,jiufu_d4707a9c23271d_first30,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857
jiufu271,native,jiufu_2f0c90ece853b4_first30,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
jiufu271,native,jiufu_57c74728570ec9_first30,12,6,8,0.6666666666666666,0.6,0.631578947368421
jiufu271,native,jiufu_2fc7ddf8f284e4_first30,11,9,8,0.55,0.5789473684210527,0.5641025641025641
jiufu271,native,jiufu_a04e9f770a2bb9_first30,10,10,13,0.5,0.43478260869565216,0.46511627906976744
jiufu271,native,jiufu_333df78fe49441_first30,11,4,3,0.7333333333333333,0.7857142857142857,0.7586206896551724
jiufu271,native,jiufu_4263d1ee2b7d38_first30,20,1,2,0.9523809523809523,0.9090909090909091,0.9302325581395349
jiufu271,native,jiufu_7cb985938d0a6a_first30,2,10,10,0.16666666666666666,0.16666666666666666,0.16666666666666666
jiufu271,native,jiufu_7c448f9ef64639_first30,8,8,7,0.5,0.5333333333333333,0.5161290322580645
jiufu271,native,jiufu_bc495978774317_first30,6,7,4,0.46153846153846156,0.6,0.5217391304347826
jiufu271,native,jiufu_e3cef2504bbb4a_first30,10,5,6,0.6666666666666666,0.625,0.6451612903225806
jiufu271,native,jiufu_d7a117e86dae24_first30,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
jiufu271,native,jiufu_f339ead1fdb0ac_first30,9,9,7,0.5,0.5625,0.5294117647058824
jiufu271,native,jiufu_92e9f652faa64a_first30,16,2,9,0.8888888888888888,0.64,0.7441860465116279
jiufu271,native,jiufu_fe09caa146ddbd_first30,7,6,7,0.5384615384615384,0.5,0.5185185185185185
jiufu271,native,jiufu_f6c192eaf6c290_first30,6,2,7,0.75,0.46153846153846156,0.5714285714285714
jiufu271,native,jiufu_42e874dae20aee_first30,1,6,8,0.14285714285714285,0.1111111111111111,0.125
jiufu271,native,jiufu_b45e99f5e3803e_first30,19,4,3,0.8260869565217391,0.8636363636363636,0.8444444444444444
jiufu271,native,jiufu_fbbccb98b40ed8_first30,3,5,5,0.375,0.375,0.375
jiufu271,native,jiufu_b7367092cbf12f_first30,11,1,7,0.9166666666666666,0.6111111111111112,0.7333333333333333
jiufu271,native,jiufu_61a3c1628d9017_first30,0,0,22,0.0,0.0,0.0
jiufu271,native,jiufu_fbaed9c05fdf1a_first30,6,12,6,0.3333333333333333,0.5,0.4
jiufu271,native,jiufu_09732493a874e4_first30,6,15,4,0.2857142857142857,0.6,0.3870967741935484
jiufu271,native,jiufu_afbc3c7536759a_first30,0,0,20,0.0,0.0,0.0
jiufu271,native,jiufu_c2f523dbca4113_first30,6,10,10,0.375,0.375,0.375
jiufu271,native,jiufu_19a4aa849045e9_first30,13,5,4,0.7222222222222222,0.7647058823529411,0.7428571428571429
jiufu271,native,jiufu_bfba3aa9a87b7c_first30,12,8,4,0.6,0.75,0.6666666666666666
jiufu271,native,jiufu_542013dcb78dc0_first30,6,9,7,0.4,0.46153846153846156,0.42857142857142855
jiufu271,native,jiufu_596ccaaf7a001c_first30,10,4,5,0.7142857142857143,0.6666666666666666,0.6896551724137931
jiufu271,native,jiufu_9b4d8a24856a9f_first30,3,7,3,0.3,0.5,0.375
jiufu271,native,jiufu_a1fad2b6534006_first30,9,3,9,0.75,0.5,0.6
jiufu271,native,jiufu_1686565c1da471_first30,0,0,10,0.0,0.0,0.0
jiufu271,native,jiufu_4923eea2509695_first30,14,9,7,0.6086956521739131,0.6666666666666666,0.6363636363636364
jiufu271,native,jiufu_ff4c4ac565e3b0_first30,4,7,6,0.36363636363636365,0.4,0.38095238095238093
jiufu271,native,jiufu_24afbde80aa2d4_first30,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143
jiufu271,native,jiufu_6434f8ad9b4978_first30,0,0,17,0.0,0.0,0.0
jiufu271,native,jiufu_0f495ca37676e0_first30,0,0,17,0.0,0.0,0.0
jiufu271,native,jiufu_135fcf30e11031_first30,13,6,3,0.6842105263157895,0.8125,0.7428571428571429
jiufu271,native,jiufu_21792037472910_first30,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846154
jiufu271,native,jiufu_fdc3b301cd9ef1_first30,2,7,4,0.2222222222222222,0.3333333333333333,0.26666666666666666
jiufu271,native,jiufu_b1efccc0572872_first30,8,3,1,0.7272727272727273,0.8888888888888888,0.8
jiufu271,native,jiufu_cbf053d260a726_first30,7,5,10,0.5833333333333334,0.4117647058823529,0.4827586206896552
jiufu271,native,jiufu_b7a3631a4e36ce_first30,3,7,8,0.3,0.2727272727272727,0.2857142857142857
jiufu271,native,jiufu_4cadeee3a7496f_first30,5,10,5,0.3333333333333333,0.5,0.4
jiufu271,native,jiufu_0bede2d3d6e2ef_first30,14,4,9,0.7777777777777778,0.6086956521739131,0.6829268292682927
jiufu271,native,jiufu_771e73351d8f0d_first30,22,3,8,0.88,0.7333333333333333,0.8
jiufu271,native,jiufu_ed4591eaed0b3f_first30,14,3,9,0.8235294117647058,0.6086956521739131,0.7
jiufu271,native,jiufu_39c814598b6c9a_first30,7,8,11,0.4666666666666667,0.3888888888888889,0.42424242424242425
jiufu271,native,jiufu_c79b86b8813e90_first30,0,0,12,0.0,0.0,0.0
jiufu271,native,jiufu_d0a278abbce35d_first30,0,0,17,0.0,0.0,0.0
jiufu271,native,jiufu_72f9214b6e39c9_first30,2,6,3,0.25,0.4,0.3076923076923077
jiufu271,native,jiufu_24b7bfc0889845_first30,0,0,14,0.0,0.0,0.0
jiufu271,native,jiufu_44a8b44ef7ff55_first30,6,10,4,0.375,0.6,0.46153846153846156
jiufu271,native,jiufu_46aefc048b6969_first30,4,9,8,0.3076923076923077,0.3333333333333333,0.32
jiufu271,native,jiufu_f19803e664a7cb_first30,3,9,9,0.25,0.25,0.25
jiufu271,native,jiufu_ca838441c991bb_first30,18,3,3,0.8571428571428571,0.8571428571428571,0.8571428571428571
jiufu271,native,jiufu_fc574ca4aa0e22_first30,0,0,15,0.0,0.0,0.0
jiufu271,native,jiufu_366cb8600d5450_first30,4,5,5,0.4444444444444444,0.4444444444444444,0.4444444444444444
jiufu271,native,jiufu_a72be27aa4d574_first30,4,11,5,0.26666666666666666,0.4444444444444444,0.3333333333333333
jiufu271,native,jiufu_cc8f24e9070eb6_first30,4,6,6,0.4,0.4,0.4
jiufu271,native,jiufu_658fffa214f378_first30,18,5,4,0.782608695652174,0.8181818181818182,0.8
jiufu271,native,jiufu_9fc4ab4ff20989_first30,0,0,13,0.0,0.0,0.0
jiufu271,native,jiufu_4a28bba3529d28_first30,0,0,13,0.0,0.0,0.0
jiufu271,native,jiufu_a005ae733f6503_first30,3,7,5,0.3,0.375,0.3333333333333333
jiufu271,native,jiufu_1f9c8c3925bc30_first30,2,11,12,0.15384615384615385,0.14285714285714285,0.14814814814814814
jiufu271,native,jiufu_14d4ade8b6206e_first30,0,0,16,0.0,0.0,0.0
jiufu271,native,jiufu_2b9099fd06d9e1_first30,6,11,6,0.35294117647058826,0.5,0.41379310344827586
jiufu271,native,jiufu_370ef65c280bd7_first30,7,10,8,0.4117647058823529,0.4666666666666667,0.4375
jiufu271,native,jiufu_931fb29cee6b4b_first30,6,3,8,0.6666666666666666,0.42857142857142855,0.5217391304347826
jiufu271,native,jiufu_b01f0755dc6a1f_first30,6,6,7,0.5,0.46153846153846156,0.48
jiufu271,native,jiufu_f242385ce55e15_first30,3,7,7,0.3,0.3,0.3
jiufu271,native,jiufu_f920435ef76ec4_first30,4,4,4,0.5,0.5,0.5
jiufu271,native,jiufu_7f52d294468aa5_first30,3,13,12,0.1875,0.2,0.1935483870967742
jiufu271,native,jiufu_11acdc6d1c6ccc_first30,4,6,8,0.4,0.3333333333333333,0.36363636363636365
jiufu271,native,jiufu_cc60214ff2d564_first30,3,7,9,0.3,0.25,0.2727272727272727
jiufu271,native,jiufu_f23fd2fe9eb848_first30,4,5,6,0.4444444444444444,0.4,0.42105263157894735
jiufu271,native,jiufu_766cc912612d8c_first30,0,0,13,0.0,0.0,0.0
jiufu271,native,jiufu_126bdac0bd036b_first30,3,9,9,0.25,0.25,0.25
jiufu271,native,jiufu_c6e5a206ad0c30_first30,14,3,4,0.8235294117647058,0.7777777777777778,0.8
jiufu271,native,jiufu_0f7af9c769fda5_first30,6,4,10,0.6,0.375,0.46153846153846156
jiufu271,native,jiufu_42402108cd09a9_first30,1,6,4,0.14285714285714285,0.2,0.16666666666666666
jiufu271,native,jiufu_a97a8ff157139f_first30,9,2,2,0.8181818181818182,0.8181818181818182,0.8181818181818182
jiufu271,native,jiufu_a45d837f891e44_first30,3,4,5,0.42857142857142855,0.375,0.4
jiufu271,native,jiufu_3a993354ebd1c7_first30,14,2,9,0.875,0.6086956521739131,0.717948717948718
jiufu271,native,jiufu_2320c69c168a7a_first30,0,0,12,0.0,0.0,0.0
jiufu271,native,jiufu_13f838ff73e069_first30,3,2,0,0.6,1.0,0.75
jiufu271,native,jiufu_34e5b460466c18_first30,0,0,13,0.0,0.0,0.0
jiufu271,native,jiufu_7388b7efc8afb3_first30,5,8,9,0.38461538461538464,0.35714285714285715,0.37037037037037035
jiufu271,native,jiufu_2fdd36fbe9a8ce_first30,9,7,7,0.5625,0.5625,0.5625
jiufu271,native,jiufu_ef58cd171d4783_first30,6,8,9,0.42857142857142855,0.4,0.41379310344827586
jiufu271,native,jiufu_96dfaf729ad3d4_first30,0,0,10,0.0,0.0,0.0
jiufu271,native,jiufu_dfa58f3a711e47_first30,4,5,3,0.4444444444444444,0.5714285714285714,0.5
jiufu271,native,jiufu_a1ceaa6025ff79_first30,8,2,9,0.8,0.47058823529411764,0.5925925925925926
jiufu271,native,jiufu_f6508f398bcf0f_first30,0,0,10,0.0,0.0,0.0
jiufu271,native,jiufu_9a1c40cbb80bb1_first30,2,7,8,0.2222222222222222,0.2,0.21052631578947367
jiufu271,native,jiufu_161f93bfffbe11_first30,7,2,3,0.7777777777777778,0.7,0.7368421052631579
jiufu271,native,jiufu_014c9b6a274fed_first30,9,3,7,0.75,0.5625,0.6428571428571429
jiufu271,native,jiufu_028724ccc9868d_first30,12,5,6,0.7058823529411765,0.6666666666666666,0.6857142857142857
jiufu271,native,jiufu_0c053f837a8b23_first30,8,9,6,0.47058823529411764,0.5714285714285714,0.5161290322580645
jiufu271,native,jiufu_8f6eabd7f2cb6e_first30,3,7,7,0.3,0.3,0.3
jiufu271,native,jiufu_21b4c4c26061d0_first30,10,5,4,0.6666666666666666,0.7142857142857143,0.6896551724137931
jiufu271,native,jiufu_37333d1afc0ec2_first30,5,10,7,0.3333333333333333,0.4166666666666667,0.37037037037037035
jiufu271,native,jiufu_1ededf79f4d325_first30,0,0,8,0.0,0.0,0.0
jiufu271,native,jiufu_b273cec8024eb2_first30,6,7,7,0.46153846153846156,0.46153846153846156,0.46153846153846156
jiufu271,native,jiufu_d1a9a7ab944633_first30,6,6,11,0.5,0.35294117647058826,0.41379310344827586
jiufu271,native,jiufu_908496549f5b42_first30,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846154
jiufu271,native,jiufu_d3820405b5afe2_first30,0,0,9,0.0,0.0,0.0
jiufu271,native,jiufu_04fd6f8dc56a73_first30,9,1,2,0.9,0.8181818181818182,0.8571428571428571
jiufu271,native,jiufu_440a29cebcae1c_first30,6,5,7,0.5454545454545454,0.46153846153846156,0.5
jiufu271,native,jiufu_e2821e37ff899d_first30,10,9,3,0.5263157894736842,0.7692307692307693,0.625
jiufu271,native,jiufu_b80d393ca25ef8_first30,4,1,0,0.8,1.0,0.8888888888888888
jiufu271,native,jiufu_adb9b6776eb349_first30,15,4,6,0.7894736842105263,0.7142857142857143,0.75
jiufu271,native,jiufu_d837d576df8e43_first30,6,3,2,0.6666666666666666,0.75,0.7058823529411765
jiufu271,native,jiufu_281bc808f4d3ff_first30,3,6,10,0.3333333333333333,0.23076923076923078,0.2727272727272727
jiufu271,native,jiufu_bb78a10aeab6d5_first30,0,0,15,0.0,0.0,0.0
jiufu271,native,jiufu_4206de92a27bce_first30,13,2,1,0.8666666666666667,0.9285714285714286,0.896551724137931
jiufu271,native,jiufu_004d48d055c457_first30,0,0,14,0.0,0.0,0.0
jiufu271,native,jiufu_43743cb152c168_first30,8,5,7,0.6153846153846154,0.5333333333333333,0.5714285714285714
jiufu271,native,jiufu_d7498380edb383_first30,3,9,9,0.25,0.25,0.25
jiufu271,native,jiufu_512d98136d6412_first30,4,10,10,0.2857142857142857,0.2857142857142857,0.2857142857142857
jiufu271,native,jiufu_7b10e1dbd08a03_first30,0,0,14,0.0,0.0,0.0
jiufu271,native,jiufu_1b1d8d9b6faec7_first30,4,7,10,0.36363636363636365,0.2857142857142857,0.32
jiufu271,native,jiufu_1a11fc33fcb6cf_first30,7,7,7,0.5,0.5,0.5
jiufu271,native,jiufu_993a2261c33ae0_first30,11,4,5,0.7333333333333333,0.6875,0.7096774193548387
jiufu271,native,jiufu_15023a4d62f18e_first30,18,6,6,0.75,0.75,0.75
jiufu271,native,jiufu_bcea2687a6b788_first30,9,6,12,0.6,0.42857142857142855,0.5
jiufu271,native,jiufu_4a3dc560468965_first30,0,0,16,0.0,0.0,0.0
jiufu271,native,jiufu_af70c3cc180ae2_first30,0,0,7,0.0,0.0,0.0
jiufu271,native,jiufu_fe965ff4644d07_first30,7,7,7,0.5,0.5,0.5
jiufu271,native,jiufu_f6bca344b2c8ce_first30,8,10,5,0.4444444444444444,0.6153846153846154,0.5161290322580645
jiufu271,native,jiufu_ce6ff507b22ee9_first30,5,13,6,0.2777777777777778,0.45454545454545453,0.3448275862068966
jiufu271,native,jiufu_075ed4d93c9959_first30,6,3,5,0.6666666666666666,0.5454545454545454,0.6
jiufu271,native,jiufu_234cbf6b627421_first30,3,1,17,0.75,0.15,0.25
jiufu271,native,jiufu_0f85cab7ac58ae_first30,12,3,4,0.8,0.75,0.7741935483870968
jiufu271,native,jiufu_55441b4c6fe974_first30,5,8,7,0.38461538461538464,0.4166666666666667,0.4
jiufu271,native,jiufu_d074036ef96d31_first30,8,6,5,0.5714285714285714,0.6153846153846154,0.5925925925925926
jiufu271,native,jiufu_cdaa16888fda03_first30,2,7,7,0.2222222222222222,0.2222222222222222,0.2222222222222222
jiufu271,native,jiufu_b7ed63dc0d8295_first30,4,11,7,0.26666666666666666,0.36363636363636365,0.3076923076923077
jiufu271,native,jiufu_7f3b12c4283ff8_first30,0,0,11,0.0,0.0,0.0
jiufu271,native,jiufu_36d04432159cdf_first30,0,0,10,0.0,0.0,0.0
jiufu271,native,jiufu_9ddfe0afe06424_first30,7,6,8,0.5384615384615384,0.4666666666666667,0.5
jiufu271,native,jiufu_7beb44b12a5f36_first30,0,0,8,0.0,0.0,0.0
jiufu271,uniform,jiufu_aed96a8cd6dde3_first30,2,7,9,0.2222222222222222,0.18181818181818182,0.2
jiufu271,uniform,jiufu_d57a389e370ce5_first30,15,5,5,0.75,0.75,0.75
jiufu271,uniform,jiufu_b79d91910dc17a_first30,2,7,11,0.2222222222222222,0.15384615384615385,0.18181818181818182
jiufu271,uniform,jiufu_d31bd7d7642ce6_first30,0,0,11,0.0,0.0,0.0
jiufu271,uniform,jiufu_73db0107967f0e_first30,0,0,5,0.0,0.0,0.0
jiufu271,uniform,jiufu_8db6ed7f9c3ad8_first30,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185185
jiufu271,uniform,jiufu_75a484b3f5253b_first30,5,4,2,0.5555555555555556,0.7142857142857143,0.625
jiufu271,uniform,jiufu_35f0adf19ed368_first30,16,5,4,0.7619047619047619,0.8,0.7804878048780488
jiufu271,uniform,jiufu_7045c3900be0cc_first30,0,0,9,0.0,0.0,0.0
jiufu271,uniform,jiufu_21e342957e0fd7_first30,22,0,2,1.0,0.9166666666666666,0.9565217391304348
jiufu271,uniform,jiufu_36ee658c295629_first30,0,0,13,0.0,0.0,0.0
jiufu271,uniform,jiufu_c92bd308748a09_first30,8,7,9,0.5333333333333333,0.47058823529411764,0.5
jiufu271,uniform,jiufu_551d99f2e9c264_first30,4,8,11,0.3333333333333333,0.26666666666666666,0.2962962962962963
jiufu271,uniform,jiufu_c95ae69597cc50_first30,8,2,5,0.8,0.6153846153846154,0.6956521739130435
jiufu271,uniform,jiufu_94796ccea127be_first30,10,4,3,0.7142857142857143,0.7692307692307693,0.7407407407407407
jiufu271,uniform,jiufu_56e83ecf9a14bb_first30,0,0,14,0.0,0.0,0.0
jiufu271,uniform,jiufu_3ac83315834f77_first30,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285
jiufu271,uniform,jiufu_c68c62cb67dede_first30,3,10,7,0.23076923076923078,0.3,0.2608695652173913
jiufu271,uniform,jiufu_3721f7cf5a844c_first30,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
jiufu271,uniform,jiufu_65b745e540b8c7_first30,7,5,4,0.5833333333333334,0.6363636363636364,0.6086956521739131
jiufu271,uniform,jiufu_2e919f7b4ce7d4_first30,0,0,18,0.0,0.0,0.0
jiufu271,uniform,jiufu_f7266533e3399d_first30,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706
jiufu271,uniform,jiufu_943fc8675c704c_first30,0,0,9,0.0,0.0,0.0
jiufu271,uniform,jiufu_bd77cfa7950eaa_first30,7,8,8,0.4666666666666667,0.4666666666666667,0.4666666666666667
jiufu271,uniform,jiufu_2aaced556ff39d_first30,0,0,8,0.0,0.0,0.0
jiufu271,uniform,jiufu_90ed4ac916a295_first30,1,3,21,0.25,0.045454545454545456,0.07692307692307693
jiufu271,uniform,jiufu_cd5eea76388f30_first30,8,2,6,0.8,0.5714285714285714,0.6666666666666666
jiufu271,uniform,jiufu_6cbcb0311b3ebf_first30,7,10,7,0.4117647058823529,0.5,0.45161290322580644
jiufu271,uniform,jiufu_4f7144680fca9d_first30,0,0,18,0.0,0.0,0.0
jiufu271,uniform,jiufu_6a641dd078f572_first30,10,7,10,0.5882352941176471,0.5,0.5405405405405406
jiufu271,uniform,jiufu_edd9eebe6de991_first30,10,10,9,0.5,0.5263157894736842,0.5128205128205128
jiufu271,uniform,jiufu_58c38973aff558_first30,6,8,4,0.42857142857142855,0.6,0.5
jiufu271,uniform,jiufu_665326590feedb_first30,3,5,13,0.375,0.1875,0.25
jiufu271,uniform,jiufu_053d6bd561c20b_first30,0,0,15,0.0,0.0,0.0
jiufu271,uniform,jiufu_9a14e05c1c184c_first30,0,0,14,0.0,0.0,0.0
jiufu271,uniform,jiufu_124bf365605cd6_first30,6,4,11,0.6,0.35294117647058826,0.4444444444444444
jiufu271,uniform,jiufu_cc565ea0bfa396_first30,9,8,6,0.5294117647058824,0.6,0.5625
jiufu271,uniform,jiufu_0a14da4ad52431_first30,9,8,9,0.5294117647058824,0.5,0.5142857142857142
jiufu271,uniform,jiufu_abada3dda3e8b7_first30,12,4,6,0.75,0.6666666666666666,0.7058823529411765
jiufu271,uniform,jiufu_0ef3b83bc00130_first30,8,6,9,0.5714285714285714,0.47058823529411764,0.5161290322580645
jiufu271,uniform,jiufu_c5ff3e35124405_first30,0,0,10,0.0,0.0,0.0
jiufu271,uniform,jiufu_a6ed80c55f7be6_first30,1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
jiufu271,uniform,jiufu_6fa0bbd661c8bb_first30,10,5,9,0.6666666666666666,0.5263157894736842,0.5882352941176471
jiufu271,uniform,jiufu_9eb853207f9233_first30,4,10,9,0.2857142857142857,0.3076923076923077,0.2962962962962963
jiufu271,uniform,jiufu_494e84a71f0d53_first30,3,2,1,0.6,0.75,0.6666666666666666
jiufu271,uniform,jiufu_8953d49083882b_first30,18,7,6,0.72,0.75,0.7346938775510204
jiufu271,uniform,jiufu_577eb87b4ec0fa_first30,6,10,8,0.375,0.42857142857142855,0.4
jiufu271,uniform,jiufu_ac7d209f2a6aec_first30,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307693
