file_id,source_path,bytes,sha256_full,scope
jiufu_8a93efdf555173,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092254-844.MP4,15920101,5f9403a440abf2ff4d0c513733dbeb0d94b007c0eb1f1d8f27fa274777e7ca28,full_file_identity_not_visual_near_duplicate_detection
jiufu_75a484b3f5253b,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092746-1425.MP4,5688513,6cf212a381b0171be8395030ed351e77854b336fa0518b75c26f2e1064ef6acd,full_file_identity_not_visual_near_duplicate_detection
jiufu_35f0adf19ed368,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T092858-622.MP4,14263063,394d240144ce4e0c06f7cd041bbea61ff849671ef3d7247f9f4dd10968cb7509,full_file_identity_not_visual_near_duplicate_detection
jiufu_7045c3900be0cc,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T093120-921.MP4,12580183,f10892e9a2958a51389454ec6c7eadfaa3882a218c8c3a7dad8e1eaacaa8b045,full_file_identity_not_visual_near_duplicate_detection
jiufu_21e342957e0fd7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094111-1420.MP4,15077046,0828e96939e139966ec7df7ecdfa56695278c282cb7046100bc22b2b7578ccf6,full_file_identity_not_visual_near_duplicate_detection
jiufu_36ee658c295629,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094529-1469.MP4,15404321,f066ce57d6ebbc0f16ff4d05c97f669c2742969819f4f01d0faefc278e6521f2,full_file_identity_not_visual_near_duplicate_detection
jiufu_c92bd308748a09,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T094758-A1021154.MP4,15501048,a0e7a4660e4115799d52a352c02cc825bb72209ecd243554dd08e89332f691e9,full_file_identity_not_visual_near_duplicate_detection
jiufu_551d99f2e9c264,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095041-1241.MP4,13812598,2d06dcb0ec015bd99fad2dcd75a599fd9ed3d0c3e7572e9df0eafbbf273798df,full_file_identity_not_visual_near_duplicate_detection
jiufu_c95ae69597cc50,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095351-1279.MP4,11808992,494c972b666398509a34919e716c251d21b7a38d3e1d6eda9c96fedb91e0c7b5,full_file_identity_not_visual_near_duplicate_detection
jiufu_94796ccea127be,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095542-989.MP4,7502576,b1dfe6938828378d182dc18b596ebc8ab4b1657186770ee420311ff9c8f1bd46,full_file_identity_not_visual_near_duplicate_detection
jiufu_56e83ecf9a14bb,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T095754-1574.MP4,5824285,7a56f836ca145be3070b1e7fce0680866516d0759cf02ee238db49d9fcfb5775,full_file_identity_not_visual_near_duplicate_detection
jiufu_3cbd345626f05c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100519-161.MP4,10920790,ae96fd3579eed742e763dc102594f8d45c399449dbb8c8776b8c01e74bd6f2d8,full_file_identity_not_visual_near_duplicate_detection
jiufu_3ac83315834f77,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T100915-713.MP4,18209950,f1988dc6e78716128e2a929234f01793494ef096ec9669774ff5181f678be7a1,full_file_identity_not_visual_near_duplicate_detection
jiufu_c68c62cb67dede,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101454-623.MP4,13394683,7067ef15d912539fb33e3e9ef74a652f2f97e2a18069d7c133ecf682960605dd,full_file_identity_not_visual_near_duplicate_detection
jiufu_3721f7cf5a844c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101712-653.MP4,9958506,e1ab3b0064edcaaedf8b119260d149dfcd108d19d22d244d216cc097bf3dc3ab,full_file_identity_not_visual_near_duplicate_detection
jiufu_65b745e540b8c7,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T101932-281.MP4,7109273,4c8d9c04dc56f3188e487fb12f415f52c6c98f4f0e2fc7e4bcdd4223028f92c5,full_file_identity_not_visual_near_duplicate_detection
jiufu_2e919f7b4ce7d4,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102206-353.MP4,20915040,dee598461d22c14bbf763b0a5d8f4de1f50133bdd716f9aeac3cfeecf00fbde0,full_file_identity_not_visual_near_duplicate_detection
jiufu_f7266533e3399d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102521-558.MP4,3879846,726f02390a5697d766a305a226195ac5276b7ff995ad0902753ed2f2132fd134,full_file_identity_not_visual_near_duplicate_detection
jiufu_943fc8675c704c,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T102849-347.MP4,13393855,a0b60995fc1672c81c7f7454626e6bfd7aaa273d8c4df7df56732ac8deb1ae10,full_file_identity_not_visual_near_duplicate_detection
jiufu_bd77cfa7950eaa,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133223-743.MP4,12383984,e46c40d45c574c6a60220be3039e659128d482eba742802872575b6c1441fdd6,full_file_identity_not_visual_near_duplicate_detection
jiufu_2aaced556ff39d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133413-957.MP4,8944337,999a7a0653e9603aed4e24fc3bbefa39eb59ffb2deb413d7e2dd1346f188c196,full_file_identity_not_visual_near_duplicate_detection
jiufu_90ed4ac916a295,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133635-179.MP4,11066449,d0ff392a646cecbed45c68741d7e4181f691454cd51adaa5afed13481baee6f4,full_file_identity_not_visual_near_duplicate_detection
jiufu_cd5eea76388f30,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T133817-728.MP4,5883574,f57dd81d00358adfd5382f992ebf74e67fa3f481fbd0959effe2d3b4991e7cd5,full_file_identity_not_visual_near_duplicate_detection
jiufu_6cbcb0311b3ebf,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134035-956.MP4,14661432,fd65cc31cf09f54d7139ed94b4891a70120ba901fb1f28f8986b27e35827660f,full_file_identity_not_visual_near_duplicate_detection
jiufu_4f7144680fca9d,E:\real\use_code\久福牧场面部热红外数据及牛脸RGB录像数据_344\0729\IRT\20240729T134435-583.MP4,16256029,669d0f1fdbb08315f1d5f6d28184f079b0748106c62f52bf30e8bfe4712dc1d7,full_file_identity_not_visual_near_duplicate_detection
