grid_index,time_seconds,is_human_reference
4,0.4597701149425288,False
19,2.1839080459770117,False
41,4.71264367816092,False
49,5.6321839080459775,False
71,8.160919540229886,False
84,9.655172413793105,False
103,11.839080459770116,False
117,13.448275862068966,False
131,15.057471264367818,False
143,16.436781609195403,False
159,18.27586206896552,False
170,19.540229885057474,False
180,20.689655172413794,False
193,22.183908045977013,False
206,23.678160919540232,False
221,25.402298850574716,False
249,28.620689655172416,False
