frame_name,left_temp,right_temp,left_x,left_y,right_x,right_y,left_conf,right_conf,nostril_spacing,roi_radius,left_source,right_source,status,left_temp_r16,left_temp_r17,left_temp_r18,left_temp_r19,left_temp_r20,left_temp_r21,left_temp_r22,left_temp_r23,left_temp_r24,right_temp_r16,right_temp_r17,right_temp_r18,right_temp_r19,right_temp_r20,right_temp_r21,right_temp_r22,right_temp_r23,right_temp_r24
frame_000000.jpg,32.212729882087906,31.659555237599136,893.0843505859375,958.2316284179688,757.8731689453125,957.0606689453125,0.01874116063117981,0.9994643330574036,135.21625193274915,20,opposite_inferred,detected,opposite_inferred_repair,32.437176130952274,32.38932051330421,32.33715257703871,32.277341495110704,32.212729882087906,32.15226893236812,32.07587786429624,32.002063932883374,31.927736381330583,31.78855931016235,31.75789924333508,31.726396155217632,31.692832511995054,31.659555237599136,31.629280092533524,31.59377268214368,31.56287927570921,31.533036890603356
frame_000001.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000002.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000003.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000004.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000005.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000006.jpg,32.118005037039346,31.509106025915703,887.3311767578125,688.0083618164062,763.929931640625,685.3126831054688,0.8255770206451416,0.9997151494026184,123.43068492147646,20,detected,detected,ok,32.07323597128006,32.0847814912396,32.09603987460938,32.10689182273629,32.118005037039346,32.126542820718655,32.136727228723004,32.145256141590906,32.15346293656888,31.740575385665398,31.68219897462587,31.625715458401913,31.56696059592112,31.509106025915703,31.459261995275867,31.400866835105365,31.348632471032243,31.298544015715905
frame_000007.jpg,32.497604576101224,32.09804072631389,843.65283203125,615.4423828125,708.441650390625,614.2714233398438,0.12131054699420929,0.9999151229858398,135.21625193274915,20,opposite_inferred,detected,opposite_inferred_repair,32.42576143651938,32.44599088634825,32.46419068855673,32.48164561253643,32.497604576101224,32.510420190872225,32.52465258995266,32.53659470921907,32.54816043862336,32.245996115047895,32.21237006669045,32.17819313624969,32.13934407280231,32.09804072631389,32.06101036412727,32.01625651853875,31.974513820374824,31.933461243376247
frame_000008.jpg,32.25929179637658,31.966515429722683,847.6538696289062,477.250732421875,721.3313598632812,480.6766052246094,0.5147829651832581,0.9998874664306641,126.36895614804665,20,detected,detected,ok,32.22070699623258,32.228304081032555,32.23745797990375,32.248623378589535,32.25929179637658,32.26975068604436,32.28277892703837,32.29480870795275,32.30634065486693,32.17827243130616,32.12676885634983,32.0753700190962,32.02057079527287,31.966515429722683,31.92241643665827,31.872298859975007,31.83041531181317,31.79122981583771
frame_000009.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000010.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000011.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000012.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000013.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000014.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000015.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
frame_000016.jpg,,,,,,,,,,20,missing,missing,no_detection,,,,,,,,,,,,,,,,,,
