window_id,video_id,video_path,source_path,source_start_seconds,duration_seconds,cohort,annotation_round,annotator,annotation_status,manual_breath_count,event_definition,predictions_hidden,reference_notes,prior_algorithm_exposure,browser_video_path,view_start_seconds
ns211117_anchored_30s,ns211117,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\ns211117_anchored30s.mp4,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T073445n211117\20230807T073445n211117.MP4,0,30.029758089852344,lindian49,R2,1,partial,25,expiration_peak,true,看不出呼气和吸气区别,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\ns211117_browser_lossless.mp4,0
zs170053_anchored_30s,zs170053,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_videos\zs170053_anchored30s.mp4,E:\real\use_code\林甸红外视频\0807\上午\B二舍正常0938\20230807T094302n170053\20230807T094302n170053.MP4,3.814567979669632,30.054171961033465,lindian49,R2,1,partial,21,expiration_peak,true,无法看出呼气和吸气区别,yes,E:\real\use_code\yoloV8\Experiment\03_可靠事件参考\event_workspace\browser_media_v1\zs170053_browser_lossless.mp4,0
