cohort,variant,complete_reference_windows,algorithm_output_coverage_on_complete,tp,fp,fn,precision,recall,f1,n,rr_r2,rr_mae_bpm,rr_rmse_bpm,count_mae,exact_count,within_one_count,mean_count_accuracy_percent,bias_bpm,loa_low_bpm,loa_high_bpm
lindian49,F0G0P0,47,1.0,797,252,330,0.7597712106768351,0.707187222715173,0.7325367647058824,47,0.22379910595395192,5.364608783374312,9.902192879299708,2.6808510638297873,14,28,88.43051987929121,-3.322310444943987,-21.803283614001266,15.158662724113292
lindian49,F0G0P1,47,1.0,824,263,303,0.7580496780128795,0.7311446317657497,0.7443541102077688,47,0.60457462737323,4.427146815862863,7.067675125661319,2.2127659574468086,11,24,90.72728598446596,-1.7047491530436378,-15.293727282605202,11.884228976517926
lindian49,F0G1P0,47,1.0,797,252,330,0.7597712106768351,0.707187222715173,0.7325367647058824,47,0.22379910595395192,5.364608783374312,9.902192879299708,2.6808510638297873,14,28,88.43051987929121,-3.322310444943987,-21.803283614001266,15.158662724113292
lindian49,F0G1P1,47,1.0,824,263,303,0.7580496780128795,0.7311446317657497,0.7443541102077688,47,0.60457462737323,4.427146815862863,7.067675125661319,2.2127659574468086,11,24,90.72728598446596,-1.7047491530436378,-15.293727282605202,11.884228976517926
lindian49,F1G0P0,47,1.0,842,281,285,0.7497773820124666,0.7471162377994676,0.7484444444444445,47,0.8342915121077654,3.233809581341684,4.575269590975932,1.6170212765957446,11,28,92.85582562495091,-0.1711727679849285,-9.229304226141252,8.886958690171394
lindian49,F1G0P1,47,1.0,856,292,271,0.7456445993031359,0.7595385980479148,0.7525274725274725,47,0.8942729480277255,2.9354875094802435,3.654579161457811,1.4680851063829787,9,26,93.6929523100727,0.892783932185975,-6.128259157267104,7.9138270216390545
lindian49,F1G1P0,47,1.0,843,281,284,0.75,0.7480035492457853,0.7490004442470013,47,0.8309206188093083,3.276377545852374,4.621571080997906,1.6382978723404256,11,28,92.77702341848912,-0.12860480347423892,-9.281268588255232,9.024058981306753
lindian49,F1G1P1,47,1.0,857,292,270,0.7458659704090513,0.7604259094942325,0.7530755711775043,47,0.8909020547292684,2.978055473990933,3.712381482817837,1.4893617021276595,9,26,93.61415010361091,0.9353518966966645,-6.1823032277526915,8.053007021146021
