epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.867977,5.57887,11.1875,3.75256,0,0,0,0,0,0,0,5e-05,5e-05,0.09505
2,1.61479,3.56762,5.41871,1.60773,0,0,0,0,0,0,0,0.000109505,0.000109505,0.0891095
3,2.32067,3.24386,5.00467,1.39383,0,0,0,0,0,0,0,0.00016847,0.00016847,0.0831685
4,3.06575,3.01625,4.60472,1.2827,0,0,0,0,0,0,0,0.000226895,0.000226895,0.0772269
5,3.82568,3.34922,4.2926,1.43848,0,0,0,0,0,0,0,0.00028478,0.00028478,0.0712848
6,4.63652,3.15867,4.02853,1.37016,0,0,0,0,0,0,0,0.000342125,0.000342125,0.0653421
7,5.38315,3.01373,3.95825,1.30527,0,0,0,0,0,0,0,0.00039893,0.00039893,0.0593989
8,6.08474,3.09852,3.59352,1.33026,0,0,0,0,0,0,0,0.000455195,0.000455195,0.0534552
9,6.89743,3.27726,3.46516,1.37583,0,0,0,0,0,0,0,0.00051092,0.00051092,0.0475109
10,7.65075,3.1734,3.28412,1.38932,0,0,0,0,0,0,0,0.000566105,0.000566105,0.0415661
11,8.33791,3.12043,2.82049,1.33928,0,0,0,0,0,0,0,0.00062075,0.00062075,0.0356207
12,9.1109,3.21158,2.95202,1.38683,0,0,0,0,0,0,0,0.000674855,0.000674855,0.0296749
13,9.87297,3.04859,2.8212,1.33117,0,0,0,0,0,0,0,0.00072842,0.00072842,0.0237284
14,10.6254,3.22026,2.60795,1.39931,0,0,0,0,0,0,0,0.000781445,0.000781445,0.0177814
15,11.4558,3.14828,2.4979,1.37969,0,0,0,0,0,0,0,0.00083393,0.00083393,0.0118339
16,12.2071,3.11842,2.48541,1.37306,0,0,0,0,0,0,0,0.000885875,0.000885875,0.00588587
17,13.0338,2.96373,2.36717,1.28693,0,0,0,0,0,0,0,0.000928,0.000928,0.000928
18,13.7461,3.20219,2.58884,1.3943,0,0,0,0,0,0,0,0.0009235,0.0009235,0.0009235
19,14.4779,3.05794,2.58845,1.31027,0,0,0,0,0,0,0,0.000919,0.000919,0.000919
20,15.3028,3.03848,2.73501,1.32608,0,0,0,0,0,0,0,0.0009145,0.0009145,0.0009145
21,16.0334,3.21157,2.80722,1.36665,0,0,0,0,0,0,0,0.00091,0.00091,0.00091
22,16.8154,2.86936,2.43122,1.26057,0,0,0,0,0,0,0,0.0009055,0.0009055,0.0009055
23,17.5779,3.02874,2.55502,1.34222,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
24,18.3628,2.92238,2.54384,1.29876,0,0,0,0,0,0,0,0.0008965,0.0008965,0.0008965
25,19.1419,2.94216,2.54338,1.33537,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
26,19.8788,2.99612,2.39055,1.28944,0,0,0,0,0,0,0,0.0008875,0.0008875,0.0008875
27,20.6495,2.97841,2.3607,1.33298,0,0,0,0,0,0,0,0.000883,0.000883,0.000883
28,21.4462,2.97481,2.43144,1.30314,0,0,0,0,0,0,0,0.0008785,0.0008785,0.0008785
29,22.2581,2.69028,2.31349,1.28924,0,0,0,0,0,0,0,0.000874,0.000874,0.000874
30,23.1466,2.89649,2.19026,1.32179,0,0,0,0,0,0,0,0.0008695,0.0008695,0.0008695
31,23.8965,2.80468,2.17237,1.30611,0,0,0,0,0,0,0,0.000865,0.000865,0.000865
32,24.6273,2.87181,2.17088,1.2732,0,0,0,0,0,0,0,0.0008605,0.0008605,0.0008605
33,25.3908,2.84313,2.1485,1.2922,0,0,0,0,0,0,0,0.000856,0.000856,0.000856
34,26.1684,2.92737,2.14013,1.32415,0,0,0,0,0,0,0,0.0008515,0.0008515,0.0008515
35,26.9342,2.65869,2.26275,1.22979,0,0,0,0,0,0,0,0.000847,0.000847,0.000847
36,27.6996,2.70716,2.05185,1.25629,0,0,0,0,0,0,0,0.0008425,0.0008425,0.0008425
37,28.4718,2.69931,2.18432,1.22032,0,0,0,0,0,0,0,0.000838,0.000838,0.000838
38,29.227,2.67771,2.13463,1.2615,0,0,0,0,0,0,0,0.0008335,0.0008335,0.0008335
39,29.9519,2.56376,2.19543,1.2016,0,0,0,0,0,0,0,0.000829,0.000829,0.000829
40,30.7064,2.75325,2.11731,1.25834,0,0,0,0,0,0,0,0.0008245,0.0008245,0.0008245
41,31.6194,2.78976,1.98869,1.2131,0,0,0,0,0,0,0,0.00082,0.00082,0.00082
42,32.358,2.68951,2.12864,1.25074,0,0,0,0,0,0,0,0.0008155,0.0008155,0.0008155
43,33.1261,2.49548,2.38313,1.24381,0,0,0,0,0,0,0,0.000811,0.000811,0.000811
