grid_index,time_seconds,is_human_reference
6,0.6896551724137931,False
13,1.4942528735632186,False
31,3.563218390804598,False
37,4.252873563218391,False
44,5.057471264367816,False
55,6.321839080459771,False
67,7.701149425287357,False
80,9.195402298850576,False
94,10.804597701149426,False
108,12.413793103448278,False
121,13.908045977011495,False
134,15.402298850574715,False
162,18.620689655172416,False
174,20.0,False
190,21.839080459770116,False
206,23.678160919540232,False
218,25.05747126436782,False
234,26.896551724137932,False
250,28.73563218390805,False
