analysis_set,factor,off,on,delta_mae_bpm,delta_mae_ci95_low,delta_mae_ci95_high,bootstrap_clusters,bootstrap_draws,bootstrap_seed
all49_sensitivity,F,F0G0P0,F1G0P0,-2.4106450158384614,-4.700220948148854,-0.5720645890548985,49,2000,20260909
all49_sensitivity,F,F0G0P1,F1G0P1,-1.552782821097336,-2.8181870968854557,-0.44862770372375327,49,2000,20260909
all49_sensitivity,F,F0G1P0,F1G1P0,-2.3698145192669835,-4.6974509354538325,-0.5300336012307223,49,2000,20260909
all49_sensitivity,F,F0G1P1,F1G1P1,-1.5119523245258581,-2.7787465991890428,-0.4092204465931145,49,2000,20260909
all49_sensitivity,G,F0G0P0,F0G1P0,0.0,0.0,0.0,49,2000,20260909
all49_sensitivity,G,F0G0P1,F0G1P1,0.0,0.0,0.0,49,2000,20260909
all49_sensitivity,G,F1G0P0,F1G1P0,0.04083049657147777,0.0,0.1224914897144333,49,2000,20260909
all49_sensitivity,G,F1G0P1,F1G1P1,0.04083049657147777,0.0,0.1224914897144333,49,2000,20260909
all49_sensitivity,P,F0G0P0,F0G0P1,-1.1031098119225429,-2.2056987996510307,-0.039771000867562634,49,2000,20260909
all49_sensitivity,P,F0G1P0,F0G1P1,-1.1031098119225429,-2.2056987996510307,-0.039771000867562634,49,2000,20260909
all49_sensitivity,P,F1G0P0,F1G0P1,-0.24524761718141727,-0.9390857947108262,0.4084560129091263,49,2000,20260909
all49_sensitivity,P,F1G1P0,F1G1P1,-0.24524761718141727,-0.9390857947108262,0.4084560129091263,49,2000,20260909
completed39_count_reference,F,F0G0P0,F1G0P0,-1.335693267717057,-3.5942077690624834,0.10154720800739889,39,2000,20260909
completed39_count_reference,F,F0G0P1,F1G0P1,-0.9249216081209745,-2.3109523185506715,0.10172293105414727,39,2000,20260909
completed39_count_reference,F,F0G1P0,F1G1P0,-1.2843934130503285,-3.493796680854859,0.15304728709971172,39,2000,20260909
completed39_count_reference,F,F0G1P1,F1G1P1,-0.873621753454246,-2.2598174008782244,0.1528877178079774,39,2000,20260909
completed39_count_reference,G,F0G0P0,F0G1P0,0.0,0.0,0.0,39,2000,20260909
completed39_count_reference,G,F0G0P1,F0G1P1,0.0,0.0,0.0,39,2000,20260909
completed39_count_reference,G,F1G0P0,F1G1P0,0.05129985466672848,0.0,0.15389956400018542,39,2000,20260909
completed39_count_reference,G,F1G0P1,F1G1P1,0.05129985466672848,0.0,0.15389956400018542,39,2000,20260909
completed39_count_reference,P,F0G0P0,F0G0P1,-0.7701108929223874,-1.8999365412425588,0.10261102906018384,39,2000,20260909
completed39_count_reference,P,F0G1P0,F0G1P1,-0.7701108929223874,-1.8999365412425588,0.10261102906018384,39,2000,20260909
completed39_count_reference,P,F1G0P0,F1G0P1,-0.35933923332630513,-1.0255693165768194,0.2556750076758417,39,2000,20260909
completed39_count_reference,P,F1G1P0,F1G1P1,-0.35933923332630513,-1.0255693165768194,0.2556750076758417,39,2000,20260909
