analysis_set,variant,n,rr_r2,rr_mae_bpm,rr_rmse_bpm,count_mae,exact_count,within_one_count,mean_count_accuracy_percent,bias_bpm,loa_low_bpm,loa_high_bpm
all49_sensitivity,F0G0P0,49,0.23701724591192475,5.471675763156356,9.888742864174763,2.7346938775510203,12,31,87.9203439394861,-2.9403519773531155,-21.637424886451583,15.75672093174535
all49_sensitivity,F0G0P1,49,0.616734058974082,4.368565951233812,7.008641356551126,2.183673469387755,13,31,90.63782294912241,-1.511207480536791,-15.064020433771885,12.041605472698302
all49_sensitivity,F0G1P0,49,0.23701724591192475,5.471675763156356,9.888742864174763,2.7346938775510203,12,31,87.9203439394861,-2.9403519773531155,-21.637424886451583,15.75672093174535
all49_sensitivity,F0G1P1,49,0.616734058974082,4.368565951233812,7.008641356551126,2.183673469387755,13,31,90.63782294912241,-1.511207480536791,-15.064020433771885,12.041605472698302
all49_sensitivity,F1G0P0,49,0.8325227378878142,3.0610307473178944,4.632993059358652,1.530612244897959,14,34,93.0297262373622,0.4490182566360614,-8.682559819918342,9.580596333190464
all49_sensitivity,F1G0P1,49,0.8809440013919597,2.815783130136477,3.906243971064354,1.4081632653061225,13,32,93.78854628258965,1.5103240321728149,-5.623653603406716,8.644301667752346
all49_sensitivity,F1G1P0,49,0.8280610827677386,3.1018612438893722,4.694299744318554,1.5510204081632653,14,34,92.95123330172642,0.4898487532075391,-8.755575749652584,9.735273256067662
all49_sensitivity,F1G1P1,49,0.876482346271884,2.8566136267079547,3.978764552335362,1.4285714285714286,13,32,93.71005334695386,1.5511545287442925,-5.704595995241556,8.80690505273014
all49_sensitivity,historical_motion_robust,49,0.8880368359522054,2.6112338561744255,3.788098863060571,1.3061224489795917,14,35,94.41813630365141,1.2241632762917745,-5.874947221077603,8.323273773661152
completed39_count_reference,F0G0P0,39,0.5616949430380078,4.05321662967651,7.950486695979216,2.0256410256410255,11,27,90.76517816749185,-1.2833293154753356,-16.862973628315945,14.296314997365275
completed39_count_reference,F0G0P1,39,0.7748959823481661,3.283105736754121,5.697667450759646,1.641025641025641,12,29,92.74107509682798,-0.3088345578101365,-11.605616559057086,10.987947443436813
completed39_count_reference,F0G1P0,39,0.5616949430380078,4.05321662967651,7.950486695979216,2.0256410256410255,11,27,90.76517816749185,-1.2833293154753356,-16.862973628315945,14.296314997365275
completed39_count_reference,F0G1P1,39,0.7748959823481661,3.283105736754121,5.697667450759646,1.641025641025641,12,29,92.74107509682798,-0.3088345578101365,-11.605616559057086,10.987947443436813
completed39_count_reference,F1G0P0,39,0.8770211507123158,2.7175233619594517,4.211343701127511,1.358974358974359,12,28,93.75175040238392,0.2567094143699605,-8.089877188279951,8.603296017019874
completed39_count_reference,F1G0P1,39,0.9303435611372881,2.3581841286331464,3.1694660805816426,1.1794871794871795,11,28,94.62471094348692,1.1282770541815674,-4.752820949407076,7.009375057770211
completed39_count_reference,F1G1P0,39,0.8720393773337688,2.76882321662618,4.295795976099919,1.3846153846153846,12,28,93.65313107299535,0.30800926903668896,-8.199863936890523,8.8158824749639
completed39_count_reference,F1G1P1,39,0.9253617877587412,2.409483983299875,3.2808478378625634,1.205128205128205,11,28,94.52609161409833,1.179576908848296,-4.899333054231366,7.258486871927958
completed39_count_reference,historical_motion_robust,39,0.9133373735632768,2.4604184986570625,3.535260313409217,1.2307692307692308,12,28,94.62229402708354,1.0253339637394585,-5.692631772636728,7.743299700115646
