fold,subset,frame_id,cow_id,threshold,expected,predicted,correct,max_confidence,correct_max_confidence
0,training,R3-01_t00,1414,0.25,2,2,2,0.9718709588050842,0.9718709588050842
0,training,R3-01_t00,1414,0.001,2,2,2,0.9718709588050842,0.9718709588050842
0,training,R3-01_t10,1414,0.25,1,1,1,0.7259059548377991,0.7259059548377991
0,training,R3-01_t10,1414,0.001,1,2,1,0.7259059548377991,0.7259059548377991
0,training,R3-01_t20,1414,0.25,1,1,1,0.9182887077331543,0.9182887077331543
0,training,R3-01_t20,1414,0.001,1,2,1,0.9182887077331543,0.9182887077331543
0,heldout,R3-02_t00,659,0.25,2,0,0,0.0,0.0
0,heldout,R3-02_t00,659,0.001,2,2,0,0.17867636680603027,0.0
0,heldout,R3-02_t10,659,0.25,2,1,1,0.7393555045127869,0.7393555045127869
0,heldout,R3-02_t10,659,0.001,2,2,2,0.7393555045127869,0.7393555045127869
0,heldout,R3-02_t20,659,0.25,2,1,1,0.31033483147621155,0.31033483147621155
0,heldout,R3-02_t20,659,0.001,2,2,2,0.31033483147621155,0.31033483147621155
0,training,R3-03_t00,957,0.25,1,1,1,0.901323676109314,0.901323676109314
0,training,R3-03_t00,957,0.001,1,2,1,0.901323676109314,0.901323676109314
0,training,R3-03_t10,957,0.25,0,0,0,0.0,0.0
0,training,R3-03_t10,957,0.001,0,2,0,0.0035856582690030336,0.0
0,training,R3-03_t20,957,0.25,2,2,2,0.8248998522758484,0.8248998522758484
0,training,R3-03_t20,957,0.001,2,2,2,0.8248998522758484,0.8248998522758484
0,training,R3-05_t00,A1022205,0.25,2,2,2,0.905953049659729,0.905953049659729
0,training,R3-05_t00,A1022205,0.001,2,2,2,0.905953049659729,0.905953049659729
0,training,R3-05_t10,A1022205,0.25,1,1,1,0.9535326361656189,0.9535326361656189
0,training,R3-05_t10,A1022205,0.001,1,2,1,0.9535326361656189,0.9535326361656189
0,training,R3-05_t20,A1022205,0.25,1,1,1,0.6953427195549011,0.6953427195549011
0,training,R3-05_t20,A1022205,0.001,1,2,1,0.6953427195549011,0.6953427195549011
0,heldout,R3-06_t00,1371,0.25,2,0,0,0.0,0.0
0,heldout,R3-06_t00,1371,0.001,2,2,1,0.10392167419195175,0.06747044622898102
0,heldout,R3-06_t10,1371,0.25,2,0,0,0.0,0.0
0,heldout,R3-06_t10,1371,0.001,2,2,1,0.23684154450893402,0.05712433531880379
0,heldout,R3-06_t20,1371,0.25,1,0,0,0.0,0.0
0,heldout,R3-06_t20,1371,0.001,1,2,0,0.03093140199780464,0.0
0,training,R3-09_t00,1487,0.25,2,2,2,0.745294451713562,0.745294451713562
0,training,R3-09_t00,1487,0.001,2,2,2,0.745294451713562,0.745294451713562
0,training,R3-09_t10,1487,0.25,2,2,2,0.8981906175613403,0.8981906175613403
0,training,R3-09_t10,1487,0.001,2,2,2,0.8981906175613403,0.8981906175613403
0,training,R3-09_t20,1487,0.25,2,2,2,0.8754165172576904,0.8754165172576904
0,training,R3-09_t20,1487,0.001,2,2,2,0.8754165172576904,0.8754165172576904
0,training,R3-10_t00,1428,0.25,2,2,2,0.9179920554161072,0.9179920554161072
0,training,R3-10_t00,1428,0.001,2,2,2,0.9179920554161072,0.9179920554161072
0,training,R3-10_t10,1428,0.25,0,0,0,0.0,0.0
0,training,R3-10_t10,1428,0.001,0,2,0,0.013915929943323135,0.0
0,training,R3-10_t20,1428,0.25,2,2,2,0.7741314768791199,0.7741314768791199
0,training,R3-10_t20,1428,0.001,2,2,2,0.7741314768791199,0.7741314768791199
0,training,R3-11_t00,683,0.25,2,2,2,0.8942381739616394,0.8942381739616394
0,training,R3-11_t00,683,0.001,2,2,2,0.8942381739616394,0.8942381739616394
0,training,R3-11_t10,683,0.25,0,0,0,0.0,0.0
0,training,R3-11_t10,683,0.001,0,2,0,0.004061993211507797,0.0
0,training,R3-11_t20,683,0.25,0,0,0,0.0,0.0
0,training,R3-11_t20,683,0.001,0,2,0,0.003392332699149847,0.0
0,training,R3-14_t00,583,0.25,2,2,2,0.6050969362258911,0.6050969362258911
0,training,R3-14_t00,583,0.001,2,2,2,0.6050969362258911,0.6050969362258911
0,training,R3-14_t10,583,0.25,2,1,1,0.6925739645957947,0.6925739645957947
0,training,R3-14_t10,583,0.001,2,2,2,0.6925739645957947,0.6925739645957947
0,training,R3-14_t20,583,0.25,2,2,2,0.676302433013916,0.676302433013916
0,training,R3-14_t20,583,0.001,2,2,2,0.676302433013916,0.676302433013916
0,training,R3-22_t00,743,0.25,0,0,0,0.0,0.0
0,training,R3-22_t00,743,0.001,0,2,0,0.0035864724777638912,0.0
0,training,R3-22_t10,743,0.25,1,1,1,0.7161951065063477,0.7161951065063477
0,training,R3-22_t10,743,0.001,1,2,1,0.7161951065063477,0.7161951065063477
0,training,R3-22_t20,743,0.25,2,2,2,0.7433585524559021,0.7433585524559021
0,training,R3-22_t20,743,0.001,2,2,2,0.7433585524559021,0.7433585524559021
0,heldout,R3-23_t00,1308,0.25,2,2,2,0.958703339099884,0.958703339099884
0,heldout,R3-23_t00,1308,0.001,2,2,2,0.958703339099884,0.958703339099884
0,heldout,R3-23_t10,1308,0.25,0,1,0,0.43555164337158203,0.0
0,heldout,R3-23_t10,1308,0.001,0,2,0,0.43555164337158203,0.0
0,heldout,R3-23_t20,1308,0.25,1,1,1,0.5698318481445312,0.5698318481445312
0,heldout,R3-23_t20,1308,0.001,1,2,1,0.5698318481445312,0.5698318481445312
0,heldout,R3-24_t00,1129,0.25,1,0,0,0.0,0.0
0,heldout,R3-24_t00,1129,0.001,1,2,1,0.10858940333127975,0.09287421405315399
0,heldout,R3-24_t10,1129,0.25,2,0,0,0.0,0.0
0,heldout,R3-24_t10,1129,0.001,2,2,1,0.10560905933380127,0.10560905933380127
0,heldout,R3-24_t20,1129,0.25,1,1,1,0.7197259664535522,0.7197259664535522
0,heldout,R3-24_t20,1129,0.001,1,2,1,0.7197259664535522,0.7197259664535522
1,heldout,R3-01_t00,1414,0.25,2,0,0,0.0,0.0
1,heldout,R3-01_t00,1414,0.001,2,2,1,0.012337186373770237,0.001954639796167612
1,heldout,R3-01_t10,1414,0.25,1,0,0,0.0,0.0
1,heldout,R3-01_t10,1414,0.001,1,2,1,0.07200609147548676,0.062301721423864365
1,heldout,R3-01_t20,1414,0.25,1,0,0,0.0,0.0
1,heldout,R3-01_t20,1414,0.001,1,2,0,0.03440551832318306,0.0
1,training,R3-02_t00,659,0.25,2,2,2,0.7674492597579956,0.7674492597579956
1,training,R3-02_t00,659,0.001,2,2,2,0.7674492597579956,0.7674492597579956
1,training,R3-02_t10,659,0.25,2,2,2,0.8016188740730286,0.8016188740730286
1,training,R3-02_t10,659,0.001,2,2,2,0.8016188740730286,0.8016188740730286
1,training,R3-02_t20,659,0.25,2,2,2,0.7913512587547302,0.7913512587547302
1,training,R3-02_t20,659,0.001,2,2,2,0.7913512587547302,0.7913512587547302
1,training,R3-03_t00,957,0.25,1,1,1,0.8216556310653687,0.8216556310653687
1,training,R3-03_t00,957,0.001,1,2,1,0.8216556310653687,0.8216556310653687
1,training,R3-03_t10,957,0.25,0,0,0,0.0,0.0
1,training,R3-03_t10,957,0.001,0,2,0,0.0025276152882725,0.0
1,training,R3-03_t20,957,0.25,2,2,2,0.8168169260025024,0.8168169260025024
1,training,R3-03_t20,957,0.001,2,2,2,0.8168169260025024,0.8168169260025024
1,heldout,R3-05_t00,A1022205,0.25,2,0,0,0.0,0.0
1,heldout,R3-05_t00,A1022205,0.001,2,2,0,0.03242778778076172,0.0
1,heldout,R3-05_t10,A1022205,0.25,1,2,1,0.6181867718696594,0.6181867718696594
1,heldout,R3-05_t10,A1022205,0.001,1,2,1,0.6181867718696594,0.6181867718696594
1,heldout,R3-05_t20,A1022205,0.25,1,0,0,0.0,0.0
1,heldout,R3-05_t20,A1022205,0.001,1,2,0,0.022359302267432213,0.0
1,training,R3-06_t00,1371,0.25,2,2,2,0.508936882019043,0.508936882019043
1,training,R3-06_t00,1371,0.001,2,2,2,0.508936882019043,0.508936882019043
1,training,R3-06_t10,1371,0.25,2,2,2,0.7188434600830078,0.7188434600830078
1,training,R3-06_t10,1371,0.001,2,2,2,0.7188434600830078,0.7188434600830078
1,training,R3-06_t20,1371,0.25,1,1,1,0.5534001588821411,0.5534001588821411
1,training,R3-06_t20,1371,0.001,1,2,1,0.5534001588821411,0.5534001588821411
1,training,R3-09_t00,1487,0.25,2,2,2,0.7932902574539185,0.7932902574539185
1,training,R3-09_t00,1487,0.001,2,2,2,0.7932902574539185,0.7932902574539185
1,training,R3-09_t10,1487,0.25,2,2,2,0.8287520408630371,0.8287520408630371
1,training,R3-09_t10,1487,0.001,2,2,2,0.8287520408630371,0.8287520408630371
