subset,threshold,frame_model_pairs,expected,predicted,correct,precision,recall,max_confidence,median_frame_max_confidence
heldout,0.001,36,50,72,29,0.4027777777777778,0.58,0.958703339099884,0.22107960283756256
heldout,0.25,36,50,25,18,0.72,0.36,0.958703339099884,0.0
training,0.001,72,100,144,99,0.6875,0.99,0.9718709588050842,0.7611019313335419
training,0.25,72,100,96,95,0.9895833333333334,0.95,0.9718709588050842,0.7611019313335419
