fold,subset,frame_id,cow_id,threshold,expected,predicted,correct,max_confidence,correct_max_confidence
0,training,R3-01_t00,1414,0.25,2,0,0,0.0,0.0
0,training,R3-01_t00,1414,0.001,2,2,2,0.001439509680494666,0.001439509680494666
0,training,R3-01_t10,1414,0.25,1,0,0,0.0,0.0
0,training,R3-01_t10,1414,0.001,1,2,1,0.004179507959634066,0.004179507959634066
0,training,R3-01_t20,1414,0.25,1,0,0,0.0,0.0
0,training,R3-01_t20,1414,0.001,1,2,0,0.004442746751010418,0.0
0,heldout,R3-02_t00,659,0.25,2,0,0,0.0,0.0
0,heldout,R3-02_t00,659,0.001,2,2,0,0.006366595160216093,0.0
0,heldout,R3-02_t10,659,0.25,2,0,0,0.0,0.0
0,heldout,R3-02_t10,659,0.001,2,2,1,0.0101163350045681,0.008710362948477268
0,heldout,R3-02_t20,659,0.25,2,0,0,0.0,0.0
0,heldout,R3-02_t20,659,0.001,2,2,1,0.02083713375031948,0.016856156289577484
0,training,R3-03_t00,957,0.25,1,0,0,0.0,0.0
0,training,R3-03_t00,957,0.001,1,2,1,0.051932357251644135,0.03650309145450592
0,training,R3-03_t10,957,0.25,0,0,0,0.0,0.0
0,training,R3-03_t10,957,0.001,0,2,0,0.0017820727080106735,0.0
0,training,R3-03_t20,957,0.25,2,0,0,0.0,0.0
0,training,R3-03_t20,957,0.001,2,2,1,0.012186645530164242,0.011715414002537727
0,training,R3-05_t00,A1022205,0.25,2,0,0,0.0,0.0
0,training,R3-05_t00,A1022205,0.001,2,2,1,0.011496340855956078,0.011496340855956078
0,training,R3-05_t10,A1022205,0.25,1,0,0,0.0,0.0
0,training,R3-05_t10,A1022205,0.001,1,2,1,0.032687827944755554,0.032687827944755554
0,training,R3-05_t20,A1022205,0.25,1,0,0,0.0,0.0
0,training,R3-05_t20,A1022205,0.001,1,2,0,0.008399427868425846,0.0
0,heldout,R3-06_t00,1371,0.25,2,0,0,0.0,0.0
0,heldout,R3-06_t00,1371,0.001,2,2,1,0.009896778501570225,0.009722786024212837
0,heldout,R3-06_t10,1371,0.25,2,0,0,0.0,0.0
0,heldout,R3-06_t10,1371,0.001,2,2,0,0.008321867324411869,0.0
0,heldout,R3-06_t20,1371,0.25,1,0,0,0.0,0.0
0,heldout,R3-06_t20,1371,0.001,1,2,0,0.001898883725516498,0.0
0,training,R3-09_t00,1487,0.25,2,0,0,0.0,0.0
0,training,R3-09_t00,1487,0.001,2,2,2,0.027400396764278412,0.027400396764278412
0,training,R3-09_t10,1487,0.25,2,0,0,0.0,0.0
0,training,R3-09_t10,1487,0.001,2,2,1,0.018771611154079437,0.018771611154079437
0,training,R3-09_t20,1487,0.25,2,0,0,0.0,0.0
0,training,R3-09_t20,1487,0.001,2,2,2,0.08026532828807831,0.08026532828807831
0,training,R3-10_t00,1428,0.25,2,0,0,0.0,0.0
0,training,R3-10_t00,1428,0.001,2,2,1,0.06348627060651779,0.06348627060651779
0,training,R3-10_t10,1428,0.25,0,0,0,0.0,0.0
0,training,R3-10_t10,1428,0.001,0,2,0,0.005511246621608734,0.0
0,training,R3-10_t20,1428,0.25,2,0,0,0.0,0.0
0,training,R3-10_t20,1428,0.001,2,2,1,0.02416025847196579,0.02416025847196579
0,training,R3-11_t00,683,0.25,2,0,0,0.0,0.0
0,training,R3-11_t00,683,0.001,2,2,0,0.012957829982042313,0.0
0,training,R3-11_t10,683,0.25,0,0,0,0.0,0.0
0,training,R3-11_t10,683,0.001,0,2,0,0.010734330862760544,0.0
0,training,R3-11_t20,683,0.25,0,0,0,0.0,0.0
0,training,R3-11_t20,683,0.001,0,2,0,0.02018009126186371,0.0
0,training,R3-14_t00,583,0.25,2,0,0,0.0,0.0
0,training,R3-14_t00,583,0.001,2,2,1,0.006349547766149044,0.0060645341873168945
0,training,R3-14_t10,583,0.25,2,0,0,0.0,0.0
0,training,R3-14_t10,583,0.001,2,2,1,0.024185024201869965,0.024185024201869965
0,training,R3-14_t20,583,0.25,2,0,0,0.0,0.0
0,training,R3-14_t20,583,0.001,2,2,1,0.015859317034482956,0.013846304267644882
0,training,R3-22_t00,743,0.25,0,0,0,0.0,0.0
0,training,R3-22_t00,743,0.001,0,2,0,0.002238083863630891,0.0
0,training,R3-22_t10,743,0.25,1,0,0,0.0,0.0
0,training,R3-22_t10,743,0.001,1,2,1,0.014118397608399391,0.014118397608399391
0,training,R3-22_t20,743,0.25,2,0,0,0.0,0.0
0,training,R3-22_t20,743,0.001,2,2,1,0.011032648384571075,0.006667240988463163
0,heldout,R3-23_t00,1308,0.25,2,0,0,0.0,0.0
0,heldout,R3-23_t00,1308,0.001,2,2,1,0.040005143731832504,0.03607921674847603
0,heldout,R3-23_t10,1308,0.25,0,0,0,0.0,0.0
0,heldout,R3-23_t10,1308,0.001,0,2,0,0.004336971323937178,0.0
0,heldout,R3-23_t20,1308,0.25,1,0,0,0.0,0.0
