frame_name,left_temp,right_temp,left_x,left_y,right_x,right_y,left_conf,right_conf,nostril_spacing,roi_radius,left_source,right_source,status
frame_000000.jpg,32.53623185083738,33.23469672939269,620.8984985351562,694.9185791015625,481.7150573730469,694.2366333007812,0.9989645481109619,0.9999397993087769,139.18511178930584,20,detected,detected,ok
frame_000001.jpg,32.6639950743271,33.262806111710354,654.0196533203125,692.7574462890625,517.8756103515625,692.6942138671875,0.9958810806274414,0.9990602135658264,136.14405765297295,20,detected,detected,ok
frame_000002.jpg,32.46384808599658,33.34371199884309,680.3485717773438,670.9305419921875,549.7885131835938,671.3990478515625,0.8580684661865234,0.999755322933197,130.56089919169406,20,detected,detected,ok
frame_000003.jpg,32.4155036526813,33.338142936836,718.1008911132812,642.9556274414062,583.9378051757812,654.5128784179688,0.7567158341407776,0.9984136819839478,134.6599557344657,20,detected,detected,ok
frame_000004.jpg,31.43705783750402,33.1553672818572,782.9791259765625,628.2855072021484,640.3438720703125,626.7978515625,0.4917788505554199,0.999703586101532,142.64301166269095,20,opposite_inferred,detected,opposite_inferred_repair
frame_000005.jpg,31.592866189946164,32.69953210438184,808.5513305664062,599.9892425537109,665.9160766601562,598.5015869140625,0.1258724331855774,0.9995383024215698,142.64301166269095,20,opposite_inferred,detected,opposite_inferred_repair
frame_000006.jpg,30.893382960480803,32.48307036698637,818.000732421875,586.5130462646484,675.365478515625,585.025390625,0.053173214197158813,0.9976027607917786,142.64301166269095,20,opposite_inferred,detected,opposite_inferred_repair
frame_000007.jpg,30.64175288973079,32.435435058828205,814.4393920898438,579.6749267578125,675.7947998046875,577.3714599609375,0.7894640564918518,0.9997430443763733,138.66372607571714,20,detected,detected,ok
frame_000008.jpg,30.270545279367095,32.35035531263083,813.0562744140625,566.2160491943359,670.4210205078125,564.7283935546875,0.35463201999664307,0.9978412389755249,142.64301166269095,20,opposite_inferred,detected,opposite_inferred_repair
frame_000009.jpg,30.270545279367095,32.35035531263083,813.0562744140625,566.2160491943359,670.4210205078125,564.7283935546875,0.35463201999664307,0.9978412389755249,142.64301166269095,20,opposite_inferred,detected,opposite_inferred_repair
frame_000010.jpg,31.08848768086092,32.44147263440637,804.96923828125,557.3062133789062,664.527587890625,558.2744750976562,0.8067259788513184,0.9995622038841248,140.44498814553168,20,detected,detected,ok
frame_000011.jpg,31.452678467727196,32.70156162610971,822.9876708984375,529.2698364257812,674.2150268554688,522.9671630859375,0.5580952763557434,0.9968416690826416,148.90608888411737,20,detected,detected,ok
