cohort,video_id,arm,cluster_id,duration_seconds,truth_count,predicted_count,count_error,exact_count,tp,fp,fn,precision,recall,event_f1,unmatched_each_way,event_clean,output_status,selected_mode,identity_gap
anchored49,16170075,C0P0,source_d070ccee03a2,30.05393034825871,28,28,0,True,19,9,9,0.6785714285714286,0.6785714285714286,0.6785714285714286,9,False,ok,framewise_max,0.0
anchored49,16170075,C0P1,source_d070ccee03a2,30.05393034825871,28,28,0,True,19,9,9,0.6785714285714286,0.6785714285714286,0.6785714285714286,9,False,ok,framewise_max,0.0
anchored49,16170075,C1P0,source_d070ccee03a2,30.05393034825871,28,25,-3,False,17,8,11,0.68,0.6071428571428571,0.6415094339622641,11,False,ok,min,0.0
anchored49,16170075,C1P1,source_d070ccee03a2,30.05393034825871,28,26,-2,False,17,9,11,0.6538461538461539,0.6071428571428571,0.6296296296296297,11,False,ok,min,0.0
anchored49,170272,C0P0,source_a00e16b0299d,30.017849344978167,24,25,1,False,19,6,5,0.76,0.7916666666666666,0.7755102040816326,5,False,ok,framewise_max,0.0
anchored49,170272,C0P1,source_a00e16b0299d,30.017849344978167,24,25,1,False,19,6,5,0.76,0.7916666666666666,0.7755102040816326,5,False,ok,framewise_max,0.0
anchored49,170272,C1P0,source_a00e16b0299d,30.017849344978167,24,26,2,False,19,7,5,0.7307692307692307,0.7916666666666666,0.76,5,False,ok,left,0.0
anchored49,170272,C1P1,source_a00e16b0299d,30.017849344978167,24,26,2,False,19,7,5,0.7307692307692307,0.7916666666666666,0.76,5,False,ok,left,0.0
anchored49,170333,C0P0,source_f7578df41d28,30.042281382880383,16,19,3,False,12,7,4,0.631578947368421,0.75,0.6857142857142857,4,False,ok,framewise_max,0.0
anchored49,170333,C0P1,source_f7578df41d28,30.042281382880383,16,19,3,False,12,7,4,0.631578947368421,0.75,0.6857142857142857,4,False,ok,framewise_max,0.0
anchored49,170333,C1P0,source_f7578df41d28,30.042281382880383,16,18,2,False,11,7,5,0.6111111111111112,0.6875,0.6470588235294118,5,False,ok,right,0.0
anchored49,170333,C1P1,source_f7578df41d28,30.042281382880383,16,18,2,False,11,7,5,0.6111111111111112,0.6875,0.6470588235294118,5,False,ok,right,0.0
anchored49,170334,C0P0,source_21ee784cc1b6,29.95859838274933,18,22,4,False,3,19,15,0.13636363636363635,0.16666666666666666,0.15,15,False,ok,framewise_max,0.0
anchored49,170334,C0P1,source_21ee784cc1b6,29.95859838274933,18,20,2,False,3,17,15,0.15,0.16666666666666666,0.15789473684210525,15,False,ok,framewise_max,0.0
anchored49,170334,C1P0,source_21ee784cc1b6,29.95859838274933,18,19,1,False,5,14,13,0.2631578947368421,0.2777777777777778,0.27027027027027023,13,False,ok,right,0.0
anchored49,170334,C1P1,source_21ee784cc1b6,29.95859838274933,18,18,0,True,5,13,13,0.2777777777777778,0.2777777777777778,0.2777777777777778,13,False,ok,right,0.0
anchored49,177395,C0P0,source_70cedf09ae50,29.998069276741063,36,36,0,True,35,1,1,0.9722222222222222,0.9722222222222222,0.9722222222222222,1,False,ok,framewise_max,0.0
anchored49,177395,C0P1,source_70cedf09ae50,29.998069276741063,36,36,0,True,35,1,1,0.9722222222222222,0.9722222222222222,0.9722222222222222,1,False,ok,framewise_max,0.0
anchored49,177395,C1P0,source_70cedf09ae50,29.998069276741063,36,35,-1,False,34,1,2,0.9714285714285714,0.9444444444444444,0.9577464788732395,2,False,ok,left,0.0
