frame_name,frame_index,left_temp,right_temp,left_norm,right_norm,fused_norm,smoothed_norm,is_peak,source_peak_rejected,fused_repaired
frame_000000.jpg,0,,32.737724427355545,0.7550594391218604,0.39720170868265464,0.7550594391218604,,False,False,False
frame_000001.jpg,1,,33.37283218105381,0.7550594391218604,0.5939812035324417,0.7550594391218604,0.7550594391218602,False,False,False
frame_000002.jpg,2,,33.69442670486952,0.7550594391218604,0.6936228904342505,0.7550594391218604,0.7550594391218602,False,False,False
frame_000003.jpg,3,33.40976475234694,33.898259898009364,0.7550594391218604,0.7567778315385179,0.7550594391218604,0.7593830250155571,False,False,False
frame_000004.jpg,4,33.465047069635986,33.967398414189525,0.7680301968029508,0.778199459930508,0.7680301968029508,0.7583533634814081,False,False,False
frame_000005.jpg,5,33.396599274192766,33.33735448321586,0.7519704545194136,0.5829889216427429,0.7519704545194136,0.7492065123911625,False,False,False
frame_000006.jpg,6,33.29281110863563,32.83457916166477,0.7276188858511231,0.4272108300958291,0.7276188858511231,0.726812318861511,False,False,False
frame_000007.jpg,7,33.178710000689726,32.41332832850265,0.7008476162139965,0.29669199187979317,0.7008476162139965,0.7272219269532526,False,False,False
frame_000008.jpg,8,33.401836613070394,32.82065897619509,0.7531992787946383,0.42289785005584646,0.7531992787946383,0.7736607635003978,False,False,False
frame_000009.jpg,9,33.88658825558123,33.435051741441484,0.8669353954925586,0.6132590876262316,0.8669353954925586,0.8400003694526486,False,False,False
frame_000010.jpg,10,34.02694274898075,33.505146018864195,0.8998664340707487,0.6349768456330959,0.8998664340707487,0.8894183262385794,True,False,False
frame_000011.jpg,11,34.03370544463428,33.52979777763241,0.9014531491524309,0.642614857622905,0.9014531491524309,0.8850269019664997,False,False,False
frame_000012.jpg,12,33.83043854191095,33.44931347496486,0.8537611226763195,0.6176778916828195,0.8537611226763195,0.8524810314455233,False,False,False
frame_000013.jpg,13,33.61080411201927,32.80380513139762,0.8022288225078197,0.417675915594786,0.8022288225078197,0.8091544958132527,False,False,False
frame_000014.jpg,14,33.47972285963457,32.62451151067948,0.771473542255619,0.36212422706751024,0.771473542255619,0.7752073819173879,False,False,False
frame_000015.jpg,15,33.39638329990117,32.578869685068014,0.7519197809887251,0.34798272850203393,0.7519197809887251,0.7890189368587124,False,False,False
frame_000016.jpg,16,33.78740168202118,33.43338392054476,0.8436634873317933,0.6127423360173188,0.8436634873317933,0.8381516232782402,False,False,False
frame_000017.jpg,17,34.1079441617411,33.5263172760743,0.9188716015142024,0.6415364715782688,0.9188716015142024,0.8780285467098297,False,False,False
frame_000018.jpg,18,33.90625838689089,33.53641209582034,0.871550551283493,0.6446642141048835,0.871550551283493,0.8988598634616662,True,False,False
