frame_name,source_frame,source_pts_seconds,playback_seconds,left_temp,left_x,left_y,left_conf,right_temp,right_x,right_y,right_conf,left_source,right_source
source_000000,0,0.0,0.0,,,,,,,,,missing,missing
source_000001,1,0.0383333333333333,0.1136363636363636,,,,,,,,,missing,missing
source_000002,2,0.2366666666666667,0.2272727272727272,,,,,,,,,missing,missing
source_000003,3,0.3116666666666667,0.3409090909090909,,,,,,,,,missing,missing
source_000004,4,0.3683333333333333,0.4545454545454545,,,,,,,,,missing,missing
source_000005,5,0.5566666666666668,0.5681818181818181,,,,,,,,,missing,missing
source_000006,6,0.6966666666666667,0.6818181818181818,,,,,,,,,missing,missing
source_000007,7,0.7133333333333334,0.7954545454545454,,,,,,,,,missing,missing
source_000008,8,0.9316666666666668,0.9090909090909092,,,,,,,,,missing,missing
source_000009,9,0.9516666666666668,1.0227272727272727,,,,,,,,,missing,missing
source_000010,10,1.105,1.1363636363636362,,,,,,,,,missing,missing
source_000011,11,1.2633333333333334,1.25,,,,,,,,,missing,missing
source_000012,12,1.3683333333333334,1.3636363636363635,,,,,,,,,missing,missing
source_000013,13,1.4800000000000002,1.477272727272727,,,,,,,,,missing,missing
source_000014,14,1.5983333333333334,1.5909090909090908,,,,,,,,,missing,missing
source_000015,15,1.711666666666667,1.7045454545454544,,,,,,,,,missing,missing
source_000016,16,1.8316666666666668,1.818181818181818,,,,,,,,,missing,missing
source_000017,17,1.9383333333333332,1.9318181818181817,,,,,,,,,missing,missing
source_000018,18,2.063333333333333,2.0454545454545454,,,,,,,,,missing,missing
source_000019,19,2.166666666666667,2.1590909090909087,,,,,,,,,missing,missing
source_000020,20,2.286666666666666,2.2727272727272725,,,,,,,,,missing,missing
source_000021,21,2.401666666666667,2.386363636363636,,,,,,,,,missing,missing
source_000022,22,2.5083333333333333,2.5,34.61827767557193,44.62053298950195,790.0923461914062,0.9989546537399292,,0.0,788.205322265625,2.633507756399922e-05,detected,missing
source_000023,23,2.631666666666667,2.6136363636363638,32.86397118851105,113.45352935791016,765.059814453125,0.9994750618934631,,4.815148830413818,763.0742797851562,7.702409675403032e-06,detected,missing
